,C,coef0,decision_function_shape,gamma,kernel,Accuracy
0,4.0,2.0,ovr,0.1,rbf,0.745545073375262
1,4.0,0.0,ovr,0.1,rbf,0.745545073375262
2,4.0,3.0,ovr,0.1,rbf,0.745545073375262
3,4.0,3.0,ovo,0.1,rbf,0.745545073375262
4,4.0,1.0,ovr,0.1,rbf,0.745545073375262
5,4.0,1.0,ovo,0.1,rbf,0.745545073375262
6,4.0,2.0,ovo,0.1,rbf,0.745545073375262
7,4.0,0.0,ovo,0.1,rbf,0.745545073375262
8,6.0,3.0,ovo,0.001,poly,0.7451956673654787
9,6.0,3.0,ovr,0.001,poly,0.7451956673654787
10,5.0,3.0,ovr,0.001,poly,0.7451956673654787
11,4.0,3.0,ovo,0.001,poly,0.7451956673654787
12,8.0,2.0,ovo,0.001,poly,0.7451956673654787
13,4.0,3.0,ovr,0.001,poly,0.7451956673654787
14,8.0,2.0,ovr,0.001,poly,0.7451956673654787
15,5.0,3.0,ovo,0.001,poly,0.7451956673654787
16,5.0,1.0,ovo,0.5,linear,0.7429682040531097
17,5.0,1.0,ovo,0.001,linear,0.7429682040531097
18,5.0,1.0,ovo,0.01,linear,0.7429682040531097
19,5.0,1.0,ovo,0.1,linear,0.7429682040531097
20,5.0,0.0,ovo,0.001,linear,0.7429682040531097
21,5.0,1.0,ovo,1.0,linear,0.7429682040531097
22,5.0,1.0,ovo,3.0,linear,0.7429682040531097
23,5.0,0.0,ovr,1.0,linear,0.7429682040531097
24,5.0,0.0,ovr,3.0,linear,0.7429682040531097
25,5.0,0.0,ovo,0.01,linear,0.7429682040531097
26,5.0,0.0,ovr,0.1,linear,0.7429682040531097
27,5.0,0.0,ovr,0.01,linear,0.7429682040531097
28,5.0,0.0,ovr,0.001,linear,0.7429682040531097
29,5.0,0.0,ovo,3.0,linear,0.7429682040531097
30,5.0,0.0,ovo,1.0,linear,0.7429682040531097
31,5.0,0.0,ovo,0.5,linear,0.7429682040531097
32,5.0,0.0,ovo,0.1,linear,0.7429682040531097
33,5.0,1.0,ovr,0.01,linear,0.7429682040531097
34,5.0,1.0,ovr,0.001,linear,0.7429682040531097
35,5.0,0.0,ovr,0.5,linear,0.7429682040531097
36,5.0,1.0,ovr,0.1,linear,0.7429682040531097
37,5.0,2.0,ovr,1.0,linear,0.7429682040531097
38,5.0,1.0,ovr,0.5,linear,0.7429682040531097
39,5.0,3.0,ovr,1.0,linear,0.7429682040531097
40,5.0,3.0,ovr,0.5,linear,0.7429682040531097
41,5.0,3.0,ovr,0.1,linear,0.7429682040531097
42,5.0,3.0,ovr,0.01,linear,0.7429682040531097
43,5.0,3.0,ovr,0.001,linear,0.7429682040531097
44,5.0,3.0,ovo,3.0,linear,0.7429682040531097
45,5.0,3.0,ovo,1.0,linear,0.7429682040531097
46,5.0,3.0,ovo,0.5,linear,0.7429682040531097
47,5.0,3.0,ovo,0.1,linear,0.7429682040531097
48,5.0,3.0,ovo,0.01,linear,0.7429682040531097
49,5.0,3.0,ovo,0.001,linear,0.7429682040531097
50,5.0,2.0,ovr,3.0,linear,0.7429682040531097
51,5.0,3.0,ovr,3.0,linear,0.7429682040531097
52,5.0,2.0,ovr,0.5,linear,0.7429682040531097
53,5.0,2.0,ovo,0.5,linear,0.7429682040531097
54,5.0,2.0,ovr,0.1,linear,0.7429682040531097
55,5.0,1.0,ovr,3.0,linear,0.7429682040531097
56,5.0,2.0,ovo,0.001,linear,0.7429682040531097
57,5.0,2.0,ovo,0.01,linear,0.7429682040531097
58,5.0,2.0,ovo,0.1,linear,0.7429682040531097
59,5.0,1.0,ovr,1.0,linear,0.7429682040531097
60,5.0,2.0,ovo,1.0,linear,0.7429682040531097
61,5.0,2.0,ovr,0.001,linear,0.7429682040531097
62,5.0,2.0,ovr,0.01,linear,0.7429682040531097
63,5.0,2.0,ovo,3.0,linear,0.7429682040531097
64,1.0,2.0,ovr,0.01,linear,0.7429245283018868
65,1.0,2.0,ovr,1.0,linear,0.7429245283018868
66,1.0,2.0,ovr,0.5,linear,0.7429245283018868
67,1.0,2.0,ovr,0.1,linear,0.7429245283018868
68,1.0,2.0,ovr,0.01,rbf,0.7429245283018868
69,1.0,2.0,ovo,3.0,linear,0.7429245283018868
70,1.0,2.0,ovr,0.001,linear,0.7429245283018868
71,1.0,2.0,ovo,1.0,linear,0.7429245283018868
72,1.0,2.0,ovo,0.5,linear,0.7429245283018868
73,1.0,2.0,ovo,0.1,linear,0.7429245283018868
74,1.0,3.0,ovo,0.001,linear,0.7429245283018868
75,1.0,2.0,ovo,0.01,rbf,0.7429245283018868
76,1.0,2.0,ovr,3.0,linear,0.7429245283018868
77,1.0,3.0,ovo,3.0,linear,0.7429245283018868
78,1.0,3.0,ovo,0.01,linear,0.7429245283018868
79,1.0,3.0,ovo,0.01,rbf,0.7429245283018868
80,1.0,3.0,ovo,0.1,linear,0.7429245283018868
81,1.0,3.0,ovo,0.5,linear,0.7429245283018868
82,1.0,3.0,ovo,1.0,linear,0.7429245283018868
83,1.0,3.0,ovr,0.001,linear,0.7429245283018868
84,1.0,3.0,ovr,0.01,linear,0.7429245283018868
85,1.0,3.0,ovr,0.01,rbf,0.7429245283018868
86,1.0,3.0,ovr,0.1,linear,0.7429245283018868
87,1.0,3.0,ovr,0.5,linear,0.7429245283018868
88,1.0,3.0,ovr,1.0,linear,0.7429245283018868
89,1.0,3.0,ovr,3.0,linear,0.7429245283018868
90,1.0,2.0,ovo,0.001,linear,0.7429245283018868
91,1.0,2.0,ovo,0.01,linear,0.7429245283018868
92,1.0,0.0,ovo,0.001,linear,0.7429245283018868
93,1.0,0.0,ovr,0.5,linear,0.7429245283018868
94,1.0,1.0,ovr,0.5,linear,0.7429245283018868
95,1.0,0.0,ovo,3.0,linear,0.7429245283018868
96,1.0,0.0,ovo,1.0,linear,0.7429245283018868
97,1.0,1.0,ovr,0.001,linear,0.7429245283018868
98,1.0,1.0,ovo,0.01,rbf,0.7429245283018868
99,1.0,1.0,ovo,1.0,linear,0.7429245283018868
100,1.0,1.0,ovo,3.0,linear,0.7429245283018868
101,1.0,0.0,ovo,0.01,linear,0.7429245283018868
102,1.0,1.0,ovo,0.5,linear,0.7429245283018868
103,1.0,1.0,ovo,0.01,linear,0.7429245283018868
104,1.0,1.0,ovo,0.1,linear,0.7429245283018868
105,1.0,0.0,ovo,0.1,linear,0.7429245283018868
106,1.0,1.0,ovr,1.0,linear,0.7429245283018868
107,1.0,0.0,ovr,1.0,linear,0.7429245283018868
108,1.0,1.0,ovr,0.1,linear,0.7429245283018868
109,1.0,0.0,ovr,0.1,linear,0.7429245283018868
110,1.0,1.0,ovo,0.001,linear,0.7429245283018868
111,1.0,0.0,ovo,0.01,rbf,0.7429245283018868
112,1.0,0.0,ovo,0.5,linear,0.7429245283018868
113,1.0,1.0,ovr,0.01,rbf,0.7429245283018868
114,1.0,0.0,ovr,3.0,linear,0.7429245283018868
115,1.0,0.0,ovr,0.01,rbf,0.7429245283018868
116,1.0,0.0,ovr,0.001,linear,0.7429245283018868
117,1.0,1.0,ovr,3.0,linear,0.7429245283018868
