,algorithm,leaf_size,n_neighbors,p,weights,Accuracy
0,brute,31,8,3,distance,0.7475541579315164
1,kd_tree,41,9,2,distance,0.7475541579315164
2,auto,81,9,2,distance,0.7475541579315164
3,kd_tree,31,9,2,distance,0.7475541579315164
4,brute,41,8,3,distance,0.7475541579315164
5,auto,11,8,3,distance,0.7475541579315164
6,brute,41,9,2,distance,0.7475541579315164
7,brute,1,9,2,distance,0.7475541579315164
8,brute,1,8,3,distance,0.7475541579315164
9,ball_tree,71,9,2,distance,0.7475541579315164
10,ball_tree,71,8,3,distance,0.7475541579315164
11,kd_tree,41,8,3,distance,0.7475541579315164
12,brute,91,8,3,distance,0.7475541579315164
13,kd_tree,51,8,3,distance,0.7475541579315164
14,brute,51,9,2,distance,0.7475541579315164
15,ball_tree,61,9,2,distance,0.7475541579315164
16,auto,51,9,2,distance,0.7475541579315164
17,ball_tree,61,8,3,distance,0.7475541579315164
18,auto,91,8,3,distance,0.7475541579315164
19,auto,31,8,3,distance,0.7475541579315164
20,auto,91,9,2,distance,0.7475541579315164
21,auto,51,8,3,distance,0.7475541579315164
22,ball_tree,51,9,2,distance,0.7475541579315164
23,ball_tree,51,8,3,distance,0.7475541579315164
24,auto,11,9,2,distance,0.7475541579315164
25,kd_tree,31,8,3,distance,0.7475541579315164
26,ball_tree,81,8,3,distance,0.7475541579315164
27,brute,91,9,2,distance,0.7475541579315164
28,auto,21,8,3,distance,0.7475541579315164
29,brute,21,8,3,distance,0.7475541579315164
30,brute,21,9,2,distance,0.7475541579315164
31,kd_tree,11,8,3,distance,0.7475541579315164
32,auto,21,9,2,distance,0.7475541579315164
33,auto,71,8,3,distance,0.7475541579315164
34,auto,71,9,2,distance,0.7475541579315164
35,kd_tree,11,9,2,distance,0.7475541579315164
36,kd_tree,1,9,2,distance,0.7475541579315164
37,kd_tree,1,8,3,distance,0.7475541579315164
38,kd_tree,21,8,3,distance,0.7475541579315164
39,kd_tree,21,9,2,distance,0.7475541579315164
40,brute,11,9,2,distance,0.7475541579315164
41,brute,11,8,3,distance,0.7475541579315164
42,auto,61,9,2,distance,0.7475541579315164
43,brute,31,9,2,distance,0.7475541579315164
44,auto,61,8,3,distance,0.7475541579315164
45,ball_tree,91,9,2,distance,0.7475541579315164
46,ball_tree,91,8,3,distance,0.7475541579315164
47,auto,81,8,3,distance,0.7475541579315164
48,ball_tree,81,9,2,distance,0.7475541579315164
49,auto,31,9,2,distance,0.7475541579315164
50,brute,51,8,3,distance,0.7475541579315164
51,kd_tree,61,9,2,distance,0.7475541579315164
52,kd_tree,51,9,2,distance,0.7475541579315164
53,kd_tree,81,8,3,distance,0.7475541579315164
54,ball_tree,21,9,2,distance,0.7475541579315164
55,ball_tree,21,8,3,distance,0.7475541579315164
56,kd_tree,71,8,3,distance,0.7475541579315164
57,ball_tree,1,8,3,distance,0.7475541579315164
58,ball_tree,31,9,2,distance,0.7475541579315164
59,kd_tree,71,9,2,distance,0.7475541579315164
60,kd_tree,61,8,3,distance,0.7475541579315164
61,auto,41,8,3,distance,0.7475541579315164
62,ball_tree,1,9,2,distance,0.7475541579315164
63,brute,61,8,3,distance,0.7475541579315164
64,auto,41,9,2,distance,0.7475541579315164
65,brute,71,8,3,distance,0.7475541579315164
66,ball_tree,41,8,3,distance,0.7475541579315164
67,brute,71,9,2,distance,0.7475541579315164
68,brute,61,9,2,distance,0.7475541579315164
69,ball_tree,11,9,2,distance,0.7475541579315164
70,kd_tree,91,9,2,distance,0.7475541579315164
71,ball_tree,31,8,3,distance,0.7475541579315164
72,auto,1,8,3,distance,0.7475541579315164
73,ball_tree,11,8,3,distance,0.7475541579315164
74,auto,1,9,2,distance,0.7475541579315164
75,kd_tree,91,8,3,distance,0.7475541579315164
76,brute,81,9,2,distance,0.7475541579315164
77,brute,81,8,3,distance,0.7475541579315164
78,ball_tree,41,9,2,distance,0.7475541579315164
79,kd_tree,81,9,2,distance,0.7475541579315164
80,auto,81,6,3,distance,0.7475104821802935
81,brute,11,6,3,distance,0.7475104821802935
82,ball_tree,91,6,3,distance,0.7475104821802935
83,kd_tree,31,6,3,distance,0.7475104821802935
84,ball_tree,11,6,3,distance,0.7475104821802935
85,ball_tree,31,6,3,distance,0.7475104821802935
86,kd_tree,1,6,3,distance,0.7475104821802935
87,brute,81,6,3,distance,0.7475104821802935
88,brute,31,6,3,distance,0.7475104821802935
89,kd_tree,21,6,3,distance,0.7475104821802935
90,ball_tree,21,6,3,distance,0.7475104821802935
91,kd_tree,81,6,3,distance,0.7475104821802935
92,auto,21,6,3,distance,0.7475104821802935
93,auto,41,6,3,distance,0.7475104821802935
94,kd_tree,11,6,3,distance,0.7475104821802935
95,brute,21,6,3,distance,0.7475104821802935
96,brute,41,6,3,distance,0.7475104821802935
97,auto,71,6,3,distance,0.7475104821802935
98,auto,31,6,3,distance,0.7475104821802935
99,brute,91,6,3,distance,0.7475104821802935
100,auto,91,6,3,distance,0.7475104821802935
101,kd_tree,91,6,3,distance,0.7475104821802935
102,ball_tree,1,6,3,distance,0.7475104821802935
103,ball_tree,71,6,3,distance,0.7475104821802935
104,brute,51,6,3,distance,0.7475104821802935
105,kd_tree,51,6,3,distance,0.7475104821802935
106,auto,51,6,3,distance,0.7475104821802935
107,auto,11,6,3,distance,0.7475104821802935
108,kd_tree,61,6,3,distance,0.7475104821802935
109,brute,1,6,3,distance,0.7475104821802935
110,ball_tree,81,6,3,distance,0.7475104821802935
111,ball_tree,41,6,3,distance,0.7475104821802935
112,brute,71,6,3,distance,0.7475104821802935
113,ball_tree,61,6,3,distance,0.7475104821802935
114,ball_tree,51,6,3,distance,0.7475104821802935
115,kd_tree,41,6,3,distance,0.7475104821802935
116,auto,61,6,3,distance,0.7475104821802935
117,auto,1,6,3,distance,0.7475104821802935
118,brute,61,6,3,distance,0.7475104821802935
119,kd_tree,71,6,3,distance,0.7475104821802935
120,kd_tree,91,7,3,distance,0.7474231306778476
121,kd_tree,51,7,3,distance,0.7474231306778476
122,brute,21,7,3,distance,0.7474231306778476
123,kd_tree,71,7,3,distance,0.7474231306778476
124,brute,1,7,3,distance,0.7474231306778476
125,auto,31,7,3,distance,0.7474231306778476
126,kd_tree,21,7,3,distance,0.7474231306778476
