,algorithm,leaf_size,n_neighbors,p,weights,Accuracy
127,kd_tree,81,7,3,distance,0.7474231306778476
128,auto,61,7,3,distance,0.7474231306778476
129,kd_tree,61,7,3,distance,0.7474231306778476
130,kd_tree,41,7,3,distance,0.7474231306778476
131,brute,11,7,3,distance,0.7474231306778476
132,kd_tree,31,7,3,distance,0.7474231306778476
133,auto,51,7,3,distance,0.7474231306778476
134,brute,91,7,3,distance,0.7474231306778476
135,ball_tree,91,7,3,distance,0.7474231306778476
136,brute,71,7,3,distance,0.7474231306778476
137,auto,91,7,3,distance,0.7474231306778476
138,brute,51,7,3,distance,0.7474231306778476
139,ball_tree,71,7,3,distance,0.7474231306778476
140,ball_tree,61,7,3,distance,0.7474231306778476
141,auto,11,7,3,distance,0.7474231306778476
142,ball_tree,81,7,3,distance,0.7474231306778476
143,brute,61,7,3,distance,0.7474231306778476
144,ball_tree,51,7,3,distance,0.7474231306778476
145,brute,41,7,3,distance,0.7474231306778476
146,ball_tree,1,7,3,distance,0.7474231306778476
147,auto,81,7,3,distance,0.7474231306778476
148,ball_tree,41,7,3,distance,0.7474231306778476
149,auto,1,7,3,distance,0.7474231306778476
150,auto,41,7,3,distance,0.7474231306778476
151,kd_tree,11,7,3,distance,0.7474231306778476
152,auto,21,7,3,distance,0.7474231306778476
153,kd_tree,1,7,3,distance,0.7474231306778476
154,ball_tree,31,7,3,distance,0.7474231306778476
155,auto,71,7,3,distance,0.7474231306778476
156,ball_tree,11,7,3,distance,0.7474231306778476
157,ball_tree,21,7,3,distance,0.7474231306778476
158,brute,81,7,3,distance,0.7474231306778476
159,brute,31,7,3,distance,0.7474231306778476
160,brute,71,8,2,distance,0.7452830188679245
161,kd_tree,51,8,2,distance,0.7452830188679245
162,brute,81,8,2,distance,0.7452830188679245
163,auto,31,8,2,distance,0.7452830188679245
164,ball_tree,11,8,2,distance,0.7452830188679245
165,ball_tree,61,8,2,distance,0.7452830188679245
166,auto,51,8,2,distance,0.7452830188679245
167,brute,61,8,2,distance,0.7452830188679245
168,ball_tree,51,8,2,distance,0.7452830188679245
169,ball_tree,21,8,2,distance,0.7452830188679245
170,kd_tree,91,8,2,distance,0.7452830188679245
171,kd_tree,81,8,2,distance,0.7452830188679245
172,auto,1,8,2,distance,0.7452830188679245
173,ball_tree,41,8,2,distance,0.7452830188679245
174,kd_tree,71,8,2,distance,0.7452830188679245
175,auto,91,8,2,distance,0.7452830188679245
176,ball_tree,31,8,2,distance,0.7452830188679245
177,ball_tree,1,8,2,distance,0.7452830188679245
178,kd_tree,61,8,2,distance,0.7452830188679245
179,auto,21,8,2,distance,0.7452830188679245
180,auto,41,8,2,distance,0.7452830188679245
181,brute,11,8,2,distance,0.7452830188679245
182,brute,51,8,2,distance,0.7452830188679245
183,auto,61,8,2,distance,0.7452830188679245
184,auto,81,8,2,distance,0.7452830188679245
185,kd_tree,21,8,2,distance,0.7452830188679245
186,brute,91,8,2,distance,0.7452830188679245
187,kd_tree,31,8,2,distance,0.7452830188679245
188,brute,41,8,2,distance,0.7452830188679245
189,auto,11,8,2,distance,0.7452830188679245
190,kd_tree,1,8,2,distance,0.7452830188679245
191,ball_tree,81,8,2,distance,0.7452830188679245
192,brute,31,8,2,distance,0.7452830188679245
193,kd_tree,41,8,2,distance,0.7452830188679245
194,brute,1,8,2,distance,0.7452830188679245
195,auto,71,8,2,distance,0.7452830188679245
196,kd_tree,11,8,2,distance,0.7452830188679245
197,ball_tree,71,8,2,distance,0.7452830188679245
198,brute,21,8,2,distance,0.7452830188679245
199,ball_tree,91,8,2,distance,0.7452830188679245
200,ball_tree,21,9,3,distance,0.7451956673654787
201,kd_tree,21,9,3,distance,0.7451956673654787
202,auto,71,9,3,distance,0.7451956673654787
203,ball_tree,31,9,3,distance,0.7451956673654787
204,kd_tree,11,9,3,distance,0.7451956673654787
205,kd_tree,1,9,3,distance,0.7451956673654787
206,kd_tree,71,9,3,distance,0.7451956673654787
207,auto,41,9,3,distance,0.7451956673654787
208,ball_tree,11,9,3,distance,0.7451956673654787
209,ball_tree,1,9,3,distance,0.7451956673654787
210,kd_tree,61,9,3,distance,0.7451956673654787
211,auto,61,9,3,distance,0.7451956673654787
212,ball_tree,91,9,3,distance,0.7451956673654787
213,kd_tree,51,9,3,distance,0.7451956673654787
214,ball_tree,81,9,3,distance,0.7451956673654787
215,ball_tree,41,9,3,distance,0.7451956673654787
216,kd_tree,31,9,3,distance,0.7451956673654787
217,auto,81,9,3,distance,0.7451956673654787
218,ball_tree,51,9,3,distance,0.7451956673654787
219,auto,91,9,3,distance,0.7451956673654787
220,ball_tree,71,9,3,distance,0.7451956673654787
221,kd_tree,41,9,3,distance,0.7451956673654787
222,ball_tree,61,9,3,distance,0.7451956673654787
223,brute,91,9,3,distance,0.7451956673654787
224,auto,51,9,3,distance,0.7451956673654787
225,kd_tree,91,9,3,distance,0.7451956673654787
226,brute,41,9,3,distance,0.7451956673654787
227,brute,1,9,3,distance,0.7451956673654787
228,auto,11,9,3,distance,0.7451956673654787
229,brute,71,9,3,distance,0.7451956673654787
230,brute,51,9,3,distance,0.7451956673654787
231,brute,31,9,3,distance,0.7451956673654787
232,auto,31,9,3,distance,0.7451956673654787
233,kd_tree,81,9,3,distance,0.7451956673654787
234,brute,21,9,3,distance,0.7451956673654787
235,auto,21,9,3,distance,0.7451956673654787
236,brute,81,9,3,distance,0.7451956673654787
237,brute,61,9,3,distance,0.7451956673654787
238,brute,11,9,3,distance,0.7451956673654787
239,auto,1,9,3,distance,0.7451956673654787
240,ball_tree,61,3,2,uniform,0.7430118798043326
241,kd_tree,61,3,2,uniform,0.7430118798043326
242,auto,91,3,2,uniform,0.7430118798043326
243,brute,1,3,2,uniform,0.7430118798043326
244,brute,61,3,2,uniform,0.7430118798043326
245,ball_tree,71,3,2,uniform,0.7430118798043326
246,ball_tree,81,3,2,uniform,0.7430118798043326
247,ball_tree,1,3,2,uniform,0.7430118798043326
248,kd_tree,51,3,2,uniform,0.7430118798043326
249,auto,61,3,2,uniform,0.7430118798043326
250,brute,11,3,2,uniform,0.7430118798043326
251,brute,51,3,2,uniform,0.7430118798043326
252,auto,11,3,2,uniform,0.7430118798043326
253,ball_tree,91,3,2,uniform,0.7430118798043326
254,brute,91,3,2,uniform,0.7430118798043326
255,auto,21,3,2,uniform,0.7430118798043326
256,kd_tree,41,3,2,uniform,0.7430118798043326
257,brute,41,3,2,uniform,0.7430118798043326
258,kd_tree,1,3,2,uniform,0.7430118798043326
259,auto,81,3,2,uniform,0.7430118798043326
260,kd_tree,11,3,2,uniform,0.7430118798043326
261,brute,31,3,2,uniform,0.7430118798043326
262,auto,31,3,2,uniform,0.7430118798043326
263,kd_tree,21,3,2,uniform,0.7430118798043326
264,kd_tree,31,3,2,uniform,0.7430118798043326
265,brute,21,3,2,uniform,0.7430118798043326
266,auto,41,3,2,uniform,0.7430118798043326
267,auto,71,3,2,uniform,0.7430118798043326
268,auto,1,3,2,uniform,0.7430118798043326
269,ball_tree,51,3,2,uniform,0.7430118798043326
270,kd_tree,91,3,2,uniform,0.7430118798043326
271,brute,81,3,2,uniform,0.7430118798043326
272,kd_tree,71,3,2,uniform,0.7430118798043326
273,ball_tree,11,3,2,uniform,0.7430118798043326
274,brute,71,3,2,uniform,0.7430118798043326
275,ball_tree,31,3,2,uniform,0.7430118798043326
276,ball_tree,41,3,2,uniform,0.7430118798043326
277,kd_tree,81,3,2,uniform,0.7430118798043326
278,ball_tree,21,3,2,uniform,0.7430118798043326
279,auto,51,3,2,uniform,0.7430118798043326
280,brute,11,5,3,distance,0.7358927323549965
281,kd_tree,61,5,3,distance,0.7358927323549965
282,ball_tree,91,5,3,distance,0.7358927323549965
283,kd_tree,41,5,3,distance,0.7358927323549965
284,auto,61,5,3,distance,0.7358927323549965
285,ball_tree,31,5,3,distance,0.7358927323549965
286,brute,41,5,3,distance,0.7358927323549965
287,auto,81,5,3,distance,0.7358927323549965
288,auto,31,5,3,distance,0.7358927323549965
289,auto,21,5,3,distance,0.7358927323549965
290,kd_tree,1,5,3,distance,0.7358927323549965
291,ball_tree,11,5,3,distance,0.7358927323549965
292,brute,31,5,3,distance,0.7358927323549965
293,auto,41,5,3,distance,0.7358927323549965
294,brute,81,5,3,distance,0.7358927323549965
295,kd_tree,11,5,3,distance,0.7358927323549965
296,kd_tree,31,5,3,distance,0.7358927323549965
297,auto,71,5,3,distance,0.7358927323549965
298,ball_tree,21,5,3,distance,0.7358927323549965
299,kd_tree,81,5,3,distance,0.7358927323549965
300,kd_tree,21,5,3,distance,0.7358927323549965
301,brute,21,5,3,distance,0.7358927323549965
302,kd_tree,71,5,3,distance,0.7358927323549965
303,brute,1,5,3,distance,0.7358927323549965
304,auto,11,5,3,distance,0.7358927323549965
305,ball_tree,61,5,3,distance,0.7358927323549965
306,brute,71,5,3,distance,0.7358927323549965
307,auto,1,5,3,distance,0.7358927323549965
308,ball_tree,71,5,3,distance,0.7358927323549965
309,auto,91,5,3,distance,0.7358927323549965
310,brute,51,5,3,distance,0.7358927323549965
311,kd_tree,51,5,3,distance,0.7358927323549965
312,brute,61,5,3,distance,0.7358927323549965
313,ball_tree,41,5,3,distance,0.7358927323549965
314,kd_tree,91,5,3,distance,0.7358927323549965
315,ball_tree,1,5,3,distance,0.7358927323549965
316,brute,91,5,3,distance,0.7358927323549965
317,ball_tree,51,5,3,distance,0.7358927323549965
318,auto,51,5,3,distance,0.7358927323549965
319,ball_tree,81,5,3,distance,0.7358927323549965
320,ball_tree,21,3,3,uniform,0.7358927323549964
321,kd_tree,11,3,3,uniform,0.7358927323549964
322,auto,11,3,3,uniform,0.7358927323549964
323,ball_tree,61,3,3,uniform,0.7358927323549964
324,kd_tree,21,3,3,uniform,0.7358927323549964
325,auto,1,3,3,uniform,0.7358927323549964
326,brute,61,3,3,uniform,0.7358927323549964
327,brute,71,3,3,uniform,0.7358927323549964
328,ball_tree,51,3,3,uniform,0.7358927323549964
329,brute,91,3,3,uniform,0.7358927323549964
330,brute,31,3,3,uniform,0.7358927323549964
331,auto,71,3,3,uniform,0.7358927323549964
332,ball_tree,71,3,3,uniform,0.7358927323549964
333,auto,81,3,3,uniform,0.7358927323549964
334,ball_tree,31,3,3,uniform,0.7358927323549964
335,auto,21,3,3,uniform,0.7358927323549964
336,brute,51,3,3,uniform,0.7358927323549964
337,brute,81,3,3,uniform,0.7358927323549964
338,ball_tree,11,3,3,uniform,0.7358927323549964
339,brute,41,3,3,uniform,0.7358927323549964
340,ball_tree,81,3,3,uniform,0.7358927323549964
341,ball_tree,41,3,3,uniform,0.7358927323549964
342,ball_tree,91,3,3,uniform,0.7358927323549964
343,auto,91,3,3,uniform,0.7358927323549964
344,ball_tree,1,3,3,uniform,0.7358927323549964
345,kd_tree,1,3,3,uniform,0.7358927323549964
346,brute,1,3,3,uniform,0.7358927323549964
347,auto,31,3,3,uniform,0.7358927323549964
348,auto,41,3,3,uniform,0.7358927323549964
349,brute,11,3,3,uniform,0.7358927323549964
350,kd_tree,31,3,3,uniform,0.7358927323549964
351,kd_tree,51,3,3,uniform,0.7358927323549964
352,auto,61,3,3,uniform,0.7358927323549964
353,kd_tree,91,3,3,uniform,0.7358927323549964
354,auto,51,3,3,uniform,0.7358927323549964
355,brute,21,3,3,uniform,0.7358927323549964
356,kd_tree,71,3,3,uniform,0.7358927323549964
357,kd_tree,81,3,3,uniform,0.7358927323549964
358,kd_tree,41,3,3,uniform,0.7358927323549964
359,kd_tree,61,3,3,uniform,0.7358927323549964
360,kd_tree,1,7,2,distance,0.733446890286513
361,brute,71,7,2,distance,0.733446890286513
362,auto,11,7,2,distance,0.733446890286513
363,kd_tree,31,7,2,distance,0.733446890286513
364,brute,31,7,2,distance,0.733446890286513
365,brute,41,7,2,distance,0.733446890286513
366,ball_tree,41,7,2,distance,0.733446890286513
367,auto,1,7,2,distance,0.733446890286513
368,auto,41,7,2,distance,0.733446890286513
369,ball_tree,1,7,2,distance,0.733446890286513
370,kd_tree,41,7,2,distance,0.733446890286513
371,brute,11,7,2,distance,0.733446890286513
372,ball_tree,61,7,2,distance,0.733446890286513
373,auto,61,7,2,distance,0.733446890286513
374,kd_tree,61,7,2,distance,0.733446890286513
375,auto,51,7,2,distance,0.733446890286513
376,ball_tree,51,7,2,distance,0.733446890286513
377,brute,61,7,2,distance,0.733446890286513
378,ball_tree,91,7,2,distance,0.733446890286513
379,auto,81,7,2,distance,0.733446890286513
380,brute,91,7,2,distance,0.733446890286513
381,kd_tree,91,7,2,distance,0.733446890286513
382,auto,71,7,2,distance,0.733446890286513
383,brute,21,7,2,distance,0.733446890286513
384,ball_tree,11,7,2,distance,0.733446890286513
385,ball_tree,71,7,2,distance,0.733446890286513
386,kd_tree,11,7,2,distance,0.733446890286513
387,auto,21,7,2,distance,0.733446890286513
388,ball_tree,81,7,2,distance,0.733446890286513
389,ball_tree,21,7,2,distance,0.733446890286513
390,brute,1,7,2,distance,0.733446890286513
391,auto,31,7,2,distance,0.733446890286513
392,kd_tree,71,7,2,distance,0.733446890286513
393,ball_tree,31,7,2,distance,0.733446890286513
394,brute,81,7,2,distance,0.733446890286513
395,kd_tree,81,7,2,distance,0.733446890286513
396,kd_tree,21,7,2,distance,0.733446890286513
397,auto,91,7,2,distance,0.733446890286513
398,kd_tree,51,7,2,distance,0.733446890286513
399,brute,51,7,2,distance,0.733446890286513
400,kd_tree,61,3,2,distance,0.7289046121593292
401,auto,91,5,2,distance,0.7289046121593292
402,brute,51,5,2,distance,0.7289046121593292
403,kd_tree,51,5,2,distance,0.7289046121593292
404,ball_tree,61,3,2,distance,0.7289046121593292
405,brute,21,5,2,distance,0.7289046121593292
406,ball_tree,61,5,2,distance,0.7289046121593292
407,auto,11,3,2,distance,0.7289046121593292
408,auto,11,5,2,distance,0.7289046121593292
409,ball_tree,71,5,2,distance,0.7289046121593292
410,brute,1,3,2,distance,0.7289046121593292
411,brute,61,5,2,distance,0.7289046121593292
412,brute,61,3,2,distance,0.7289046121593292
413,ball_tree,71,3,2,distance,0.7289046121593292
414,brute,1,5,2,distance,0.7289046121593292
415,auto,71,3,2,distance,0.7289046121593292
416,ball_tree,1,3,2,distance,0.7289046121593292
417,kd_tree,61,5,2,distance,0.7289046121593292
418,brute,91,3,2,distance,0.7289046121593292
419,ball_tree,21,3,2,distance,0.7289046121593292
420,kd_tree,81,3,2,distance,0.7289046121593292
421,ball_tree,21,5,2,distance,0.7289046121593292
422,auto,1,3,2,distance,0.7289046121593292
423,brute,81,5,2,distance,0.7289046121593292
424,auto,41,5,2,distance,0.7289046121593292
425,ball_tree,11,5,2,distance,0.7289046121593292
426,ball_tree,31,3,2,distance,0.7289046121593292
427,kd_tree,91,3,2,distance,0.7289046121593292
428,ball_tree,31,5,2,distance,0.7289046121593292
429,brute,81,3,2,distance,0.7289046121593292
430,ball_tree,11,3,2,distance,0.7289046121593292
431,kd_tree,71,5,2,distance,0.7289046121593292
432,auto,1,5,2,distance,0.7289046121593292
433,auto,51,3,2,distance,0.7289046121593292
434,ball_tree,41,3,2,distance,0.7289046121593292
435,kd_tree,71,3,2,distance,0.7289046121593292
436,brute,91,5,2,distance,0.7289046121593292
437,ball_tree,41,5,2,distance,0.7289046121593292
438,kd_tree,91,5,2,distance,0.7289046121593292
439,brute,71,3,2,distance,0.7289046121593292
440,ball_tree,51,3,2,distance,0.7289046121593292
441,ball_tree,51,5,2,distance,0.7289046121593292
442,auto,51,5,2,distance,0.7289046121593292
443,auto,41,3,2,distance,0.7289046121593292
444,ball_tree,1,5,2,distance,0.7289046121593292
445,brute,71,5,2,distance,0.7289046121593292
446,kd_tree,81,5,2,distance,0.7289046121593292
447,ball_tree,81,3,2,distance,0.7289046121593292
448,brute,31,5,2,distance,0.7289046121593292
449,kd_tree,31,3,2,distance,0.7289046121593292
450,auto,71,5,2,distance,0.7289046121593292
451,kd_tree,31,5,2,distance,0.7289046121593292
452,brute,41,5,2,distance,0.7289046121593292
453,ball_tree,91,5,2,distance,0.7289046121593292
454,auto,61,5,2,distance,0.7289046121593292
455,kd_tree,41,5,2,distance,0.7289046121593292
456,kd_tree,41,3,2,distance,0.7289046121593292
457,kd_tree,11,5,2,distance,0.7289046121593292
458,auto,21,3,2,distance,0.7289046121593292
459,auto,21,5,2,distance,0.7289046121593292
460,brute,11,3,2,distance,0.7289046121593292
461,auto,31,5,2,distance,0.7289046121593292
462,auto,81,5,2,distance,0.7289046121593292
463,brute,41,3,2,distance,0.7289046121593292
464,brute,11,5,2,distance,0.7289046121593292
465,kd_tree,1,3,2,distance,0.7289046121593292
466,kd_tree,1,5,2,distance,0.7289046121593292
467,kd_tree,51,3,2,distance,0.7289046121593292
468,auto,31,3,2,distance,0.7289046121593292
469,auto,81,3,2,distance,0.7289046121593292
470,kd_tree,21,3,2,distance,0.7289046121593292
471,ball_tree,91,3,2,distance,0.7289046121593292
472,ball_tree,81,5,2,distance,0.7289046121593292
473,brute,21,3,2,distance,0.7289046121593292
474,auto,91,3,2,distance,0.7289046121593292
475,brute,51,3,2,distance,0.7289046121593292
476,kd_tree,21,5,2,distance,0.7289046121593292
477,kd_tree,11,3,2,distance,0.7289046121593292
478,auto,61,3,2,distance,0.7289046121593292
479,brute,31,3,2,distance,0.7289046121593292
480,ball_tree,31,8,2,uniform,0.7288172606568833
481,kd_tree,61,8,2,uniform,0.7288172606568833
482,kd_tree,11,8,2,uniform,0.7288172606568833
483,auto,41,8,2,uniform,0.7288172606568833
484,ball_tree,71,8,2,uniform,0.7288172606568833
485,kd_tree,71,8,2,uniform,0.7288172606568833
486,kd_tree,31,8,2,uniform,0.7288172606568833
487,kd_tree,81,8,2,uniform,0.7288172606568833
488,auto,1,8,2,uniform,0.7288172606568833
489,auto,21,8,2,uniform,0.7288172606568833
490,ball_tree,41,8,2,uniform,0.7288172606568833
491,brute,21,8,2,uniform,0.7288172606568833
492,brute,71,8,2,uniform,0.7288172606568833
493,brute,31,8,2,uniform,0.7288172606568833
494,ball_tree,1,8,2,uniform,0.7288172606568833
495,kd_tree,21,8,2,uniform,0.7288172606568833
496,kd_tree,1,8,2,uniform,0.7288172606568833
497,ball_tree,91,8,2,uniform,0.7288172606568833
498,kd_tree,51,8,2,uniform,0.7288172606568833
499,kd_tree,41,8,2,uniform,0.7288172606568833
500,auto,61,8,2,uniform,0.7288172606568833
501,auto,91,8,2,uniform,0.7288172606568833
502,auto,81,8,2,uniform,0.7288172606568833
503,auto,51,8,2,uniform,0.7288172606568833
504,brute,41,8,2,uniform,0.7288172606568833
505,auto,11,8,2,uniform,0.7288172606568833
506,brute,51,8,2,uniform,0.7288172606568833
507,kd_tree,91,8,2,uniform,0.7288172606568833
508,brute,81,8,2,uniform,0.7288172606568833
509,brute,1,8,2,uniform,0.7288172606568833
510,auto,71,8,2,uniform,0.7288172606568833
511,brute,91,8,2,uniform,0.7288172606568833
512,ball_tree,81,8,2,uniform,0.7288172606568833
513,ball_tree,21,8,2,uniform,0.7288172606568833
514,auto,31,8,2,uniform,0.7288172606568833
515,brute,11,8,2,uniform,0.7288172606568833
516,ball_tree,11,8,2,uniform,0.7288172606568833
517,brute,61,8,2,uniform,0.7288172606568833
518,ball_tree,51,8,2,uniform,0.7288172606568833
519,ball_tree,61,8,2,uniform,0.7288172606568833
520,ball_tree,31,6,3,uniform,0.7265897973445143
521,kd_tree,31,6,2,distance,0.7265897973445143
522,brute,81,6,3,uniform,0.7265897973445143
523,ball_tree,31,6,2,distance,0.7265897973445143
524,kd_tree,11,6,2,distance,0.7265897973445143
525,kd_tree,11,6,3,uniform,0.7265897973445143
526,brute,21,6,3,uniform,0.7265897973445143
527,brute,81,6,2,distance,0.7265897973445143
528,kd_tree,31,6,3,uniform,0.7265897973445143
529,brute,21,6,2,distance,0.7265897973445143
530,ball_tree,21,6,3,uniform,0.7265897973445143
531,kd_tree,81,6,3,uniform,0.7265897973445143
532,ball_tree,21,6,2,distance,0.7265897973445143
533,kd_tree,81,6,2,distance,0.7265897973445143
534,kd_tree,21,6,2,distance,0.7265897973445143
535,kd_tree,21,6,3,uniform,0.7265897973445143
536,kd_tree,71,6,3,uniform,0.7265897973445143
537,kd_tree,1,6,2,distance,0.7265897973445143
538,kd_tree,71,6,2,distance,0.7265897973445143
539,kd_tree,41,6,2,distance,0.7265897973445143
540,ball_tree,61,6,3,uniform,0.7265897973445143
541,kd_tree,41,6,3,uniform,0.7265897973445143
542,brute,61,6,2,distance,0.7265897973445143
543,brute,91,6,3,uniform,0.7265897973445143
544,brute,41,6,2,distance,0.7265897973445143
545,brute,41,6,3,uniform,0.7265897973445143
546,kd_tree,51,6,3,uniform,0.7265897973445143
547,ball_tree,81,6,3,uniform,0.7265897973445143
548,ball_tree,71,6,2,distance,0.7265897973445143
549,ball_tree,71,6,3,uniform,0.7265897973445143
550,ball_tree,81,6,2,distance,0.7265897973445143
551,brute,1,6,3,uniform,0.7265897973445143
552,brute,51,6,3,uniform,0.7265897973445143
553,brute,51,6,2,distance,0.7265897973445143
554,kd_tree,51,6,2,distance,0.7265897973445143
555,ball_tree,61,6,2,distance,0.7265897973445143
556,ball_tree,91,6,2,distance,0.7265897973445143
557,brute,91,6,2,distance,0.7265897973445143
558,brute,61,6,3,uniform,0.7265897973445143
559,brute,31,6,2,distance,0.7265897973445143
560,brute,31,6,3,uniform,0.7265897973445143
561,ball_tree,41,6,2,distance,0.7265897973445143
562,ball_tree,41,6,3,uniform,0.7265897973445143
563,brute,11,6,3,uniform,0.7265897973445143
