,criterion,max_depth,max_features,min_impurity_decrease,n_estimators,Accuracy
0,gini,,10,0.0,100,0.7803546470999302
1,gini,,,0.0,1000,0.7803546470999302
2,entropy,,10,0.0,1000,0.7686932215234102
3,entropy,,,0.0,1000,0.7686932215234101
4,gini,,10,0.0,1000,0.7686495457721872
5,gini,,sqrt,0.0,1000,0.7663347309573725
6,entropy,,sqrt,0.0,1000,0.7640635918937806
7,gini,,,0.0,100,0.7640635918937806
8,gini,10.0,log2,0.0,1000,0.7640199161425576
9,gini,10.0,,0.0,1000,0.7640199161425576
10,entropy,,10,0.0,100,0.7639762403913348
11,entropy,,log2,0.0,100,0.7639762403913347
12,gini,10.0,,0.0,100,0.76166142557652
13,entropy,10.0,10,0.0,1000,0.76166142557652
14,gini,,log2,0.0,1000,0.76166142557652
15,gini,,sqrt,0.0,100,0.7615740740740741
16,gini,,log2,0.0,100,0.7593466107617051
17,gini,10.0,sqrt,0.0,1000,0.7593029350104823
18,entropy,,log2,0.0,1000,0.7592592592592593
19,entropy,10.0,log2,0.0,1000,0.7570317959468904
20,entropy,10.0,,0.0,1000,0.7569881201956674
21,entropy,10.0,sqrt,0.0,100,0.7569881201956674
22,entropy,10.0,sqrt,0.0,1000,0.7569444444444444
23,entropy,10.0,10,0.0,100,0.7569007686932216
24,gini,5.0,10,0.0,1000,0.7569007686932215
25,gini,10.0,10,0.0,10,0.7547169811320755
26,gini,10.0,10,0.0,1000,0.7546733053808525
27,gini,10.0,10,0.0,100,0.7546733053808525
28,entropy,,,0.0,100,0.7546733053808525
29,gini,10.0,sqrt,0.0,100,0.7546296296296297
30,gini,5.0,,0.0,1000,0.7523584905660377
31,gini,10.0,log2,0.0,100,0.7523148148148149
32,gini,5.0,,0.0,100,0.7523148148148149
33,entropy,10.0,,0.0,100,0.7522711390635919
34,entropy,5.0,10,0.0,1000,0.752227463312369
35,entropy,10.0,log2,0.0,100,0.75
36,entropy,10.0,10,0.0,10,0.75
37,entropy,,sqrt,0.0,100,0.7477288609364081
38,entropy,5.0,10,0.0,10,0.7475978336827394
39,gini,4.0,,0.0,100,0.7453266946191475
40,gini,4.0,,0.0,1000,0.7452830188679245
41,entropy,4.0,,0.0,100,0.7452393431167017
42,gini,10.0,,0.0,10,0.7452393431167016
43,entropy,5.0,,0.0,100,0.7452393431167015
44,entropy,5.0,10,0.0,100,0.7451083158630328
45,entropy,5.0,,0.0,1000,0.7429245283018868
46,entropy,4.0,,0.0,1000,0.7428808525506638
47,gini,5.0,10,0.0,100,0.742837176799441
48,entropy,,,0.0,10,0.7428371767994408
49,entropy,10.0,,0.0,10,0.7427061495457722
50,gini,5.0,,0.0,10,0.7405223619846262
51,gini,5.0,sqrt,0.0,1000,0.7382512229210343
52,entropy,4.0,10,0.0,1000,0.7381638714185883
53,gini,4.0,10,0.0,100,0.7381201956673655
54,gini,5.0,10,0.0,10,0.7358927323549965
55,gini,4.0,10,0.0,1000,0.7358053808525507
56,entropy,5.0,sqrt,0.0,1000,0.7358053808525507
57,gini,10.0,sqrt,0.0,10,0.7336652690426275
58,entropy,5.0,log2,0.0,1000,0.7335342417889588
59,gini,5.0,log2,0.0,1000,0.7335342417889588
60,entropy,4.0,sqrt,0.0,1000,0.7312194269741439
61,gini,,sqrt,0.0,10,0.728991963661775
62,gini,5.0,sqrt,0.0,100,0.728948287910552
63,gini,5.0,log2,0.0,100,0.7289046121593291
64,gini,4.0,,0.0,10,0.7288609364081062
65,gini,,10,0.0,10,0.7288609364081062
66,gini,3.0,,0.0,100,0.7288609364081062
67,gini,3.0,,0.0,1000,0.7288172606568833
68,entropy,,10,0.0,10,0.7287299091544375
69,entropy,5.0,,0.0,10,0.7265897973445143
70,gini,,,0.0,10,0.7265461215932913
71,entropy,5.0,log2,0.0,100,0.7265024458420685
72,gini,4.0,sqrt,0.0,1000,0.7242313067784766
73,gini,,log2,0.0,10,0.7241439552760307
74,entropy,4.0,,0.0,10,0.7241002795248077
75,entropy,3.0,,0.0,1000,0.7218291404612159
76,entropy,3.0,,0.0,100,0.7218291404612159
77,entropy,5.0,sqrt,0.0,100,0.7218291404612159
78,entropy,4.0,10,0.0,10,0.7218291404612158
79,gini,3.0,10,0.0,1000,0.7217854647099929
80,entropy,4.0,10,0.0,100,0.7217417889587701
81,entropy,10.0,sqrt,0.0,10,0.7217417889587701
82,entropy,3.0,,0.0,10,0.7216544374563243
83,gini,10.0,log2,0.0,10,0.7197327044025157
84,entropy,3.0,10,0.0,100,0.719514325646401
85,entropy,10.0,log2,0.0,10,0.717330538085255
86,gini,,1,0.0,1000,0.7172431865828093
87,entropy,,1,0.0,1000,0.7171558350803633
88,entropy,3.0,10,0.0,1000,0.7171558350803633
89,gini,3.0,,0.0,10,0.7170248078266946
90,gini,3.0,10,0.0,100,0.7148410202655485
91,entropy,,sqrt,0.0,10,0.7126135569531796
92,entropy,,1,0.0,100,0.7125698812019566
93,gini,,1,0.0,100,0.712438853948288
94,gini,4.0,10,0.0,10,0.7100366876310273
95,entropy,4.0,log2,0.0,1000,0.7078092243186582
96,entropy,3.0,10,0.0,10,0.7054944095038435
97,gini,5.0,,0.0,1,0.7052760307477288
98,gini,4.0,log2,0.0,1000,0.7031359189378057
99,gini,3.0,,0.0,1,0.702961215932914
100,entropy,3.0,,0.0,1,0.7006464011180993
101,entropy,5.0,,0.0,1,0.698549965059399
102,gini,4.0,log2,0.0,100,0.698506289308176
103,gini,,1,0.0,10,0.6983752620545074
104,gini,4.0,sqrt,0.0,100,0.6983315863032844
105,entropy,4.0,log2,0.0,100,0.6960604472396925
106,entropy,4.0,sqrt,0.0,100,0.6959294199860238
107,gini,4.0,,0.0,1,0.6938766596785464
108,entropy,,log2,0.0,10,0.691430817610063
109,gini,10.0,,0.0,1,0.6890723270440251
110,gini,3.0,10,0.0,10,0.6868448637316562
111,entropy,5.0,sqrt,0.0,10,0.6868011879804332
112,gini,10.0,1,0.0,1000,0.6844863731656184
113,gini,10.0,1,0.0,100,0.6844863731656184
114,entropy,10.0,1,0.0,1000,0.6799004192872118
115,gini,5.0,sqrt,0.0,10,0.6798130677847659
116,entropy,10.0,1,0.0,100,0.6798130677847659
117,entropy,3.0,sqrt,0.0,1000,0.6797693920335429
118,gini,5.0,log2,0.0,10,0.6774545772187281
119,entropy,4.0,,0.0,1,0.6774109014675052
120,gini,3.0,sqrt,0.0,1000,0.6774109014675052
121,entropy,,,0.0,1,0.6729996505939901
122,gini,,,0.0,1,0.6729996505939901
123,entropy,,1,0.0,10,0.6658805031446541
124,entropy,10.0,1,0.0,10,0.6635220125786163
125,entropy,5.0,log2,0.0,10,0.6634346610761706
126,entropy,10.0,10,0.0,1,0.6591981132075472
127,gini,5.0,10,0.0,1,0.6589360587002095
128,gini,3.0,log2,0.0,1000,0.6587613556953179
129,entropy,10.0,,0.0,1,0.658717679944095
130,entropy,4.0,sqrt,0.0,10,0.6586740041928721
131,gini,,log2,0.0,1,0.6566649196366177
132,gini,10.0,1,0.0,10,0.6566212438853948
133,gini,4.0,log2,0.0,10,0.6565775681341719
134,gini,4.0,sqrt,0.0,10,0.6542190775681341
135,gini,10.0,sqrt,0.0,1,0.6519042627533194
136,gini,,sqrt,0.0,1,0.6517295597484277
137,entropy,3.0,log2,0.0,1000,0.6517295597484276
138,gini,4.0,10,0.0,1,0.6517295597484276
139,gini,,10,0.0,1,0.6499825296995108
140,gini,3.0,sqrt,0.0,10,0.647143605870021
141,gini,3.0,log2,0.0,100,0.6471436058700208
142,entropy,3.0,sqrt,0.0,100,0.6470562543675751
143,gini,3.0,sqrt,0.0,100,0.6470125786163522
144,gini,10.0,10,0.0,1,0.6428197064989518
145,entropy,5.0,sqrt,0.0,1,0.6422519217330538
146,entropy,4.0,log2,0.0,10,0.6402428371767994
147,entropy,5.0,10,0.0,1,0.6381027253668763
148,gini,5.0,sqrt,0.0,1,0.635525856044724
149,entropy,3.0,log2,0.0,100,0.635482180293501
150,gini,10.0,log2,0.0,1,0.6330363382250175
151,entropy,,10,0.0,1,0.6308962264150944
152,entropy,3.0,10,0.0,1,0.6308525506638714
153,gini,5.0,1,0.0,100,0.6308525506638714
154,gini,,1,0.0,1,0.6308088749126486
155,gini,5.0,log2,0.0,1,0.6307651991614256
156,gini,3.0,sqrt,0.0,1,0.6285814116002796
157,gini,5.0,1,0.0,1000,0.6284940600978336
158,gini,3.0,log2,0.0,1,0.6261792452830188
159,gini,3.0,10,0.0,1,0.6238207547169812
160,entropy,3.0,sqrt,0.0,10,0.6236897274633123
161,gini,5.0,1,0.0,10,0.6236897274633123
162,gini,4.0,log2,0.0,1,0.6236460517120894
163,gini,3.0,log2,0.0,10,0.6215496156533892
164,entropy,4.0,log2,0.0,1,0.6215059399021663
165,entropy,5.0,1,0.0,1000,0.6215059399021663
166,entropy,5.0,1,0.0,10,0.6191037735849056
167,entropy,5.0,log2,0.0,1,0.6164832285115305
168,gini,4.0,1,0.0,10,0.6143431167016074
169,entropy,5.0,1,0.0,100,0.6122030048916842
170,entropy,4.0,1,0.0,10,0.6120719776380155
171,gini,4.0,sqrt,0.0,1,0.6120719776380154
172,entropy,4.0,10,0.0,1,0.6119846261355695
173,gini,4.0,1,0.0,1000,0.6098008385744235
