,criterion,max_depth,max_features,min_impurity_decrease,splitter,Accuracy
0,entropy,10.0,,0.0,best,0.75
1,entropy,4.0,,0.0,random,0.7453703703703703
2,gini,5.0,,0.0,random,0.7406097134870719
3,entropy,3.0,,0.0,random,0.73833857442348
4,entropy,3.0,,0.0,best,0.7382948986722571
5,gini,3.0,,0.0,best,0.7359364081062194
6,gini,10.0,,0.0,random,0.7337526205450733
7,gini,3.0,,0.0,random,0.7336652690426275
8,entropy,5.0,,0.0,random,0.7289046121593292
9,gini,4.0,,0.0,random,0.7219164919636618
10,entropy,10.0,,0.0,random,0.7127009084556254
11,entropy,5.0,,0.0,best,0.7125698812019567
12,gini,5.0,,0.0,best,0.7102987421383647
13,gini,4.0,,0.0,best,0.70798392732355
14,gini,3.0,10,0.0,random,0.7054070580013976
15,gini,4.0,10,0.0,random,0.7054070580013976
16,gini,10.0,,0.0,best,0.7009084556254368
17,entropy,4.0,,0.0,best,0.6987246680642907
18,entropy,3.0,10,0.0,random,0.6984626135569532
19,entropy,10.0,10,0.0,random,0.6960167714884696
20,gini,,,0.0,random,0.6942697414395528
21,gini,4.0,auto,0.0,best,0.6940513626834381
22,gini,4.0,sqrt,0.0,best,0.6940513626834381
23,gini,10.0,log2,0.0,random,0.6938329839273235
24,gini,,,0.0,best,0.6937893081761006
25,gini,5.0,10,0.0,random,0.6937019566736548
26,entropy,4.0,10,0.0,random,0.6866701607267645
27,gini,10.0,10,0.0,best,0.6824336128581412
28,entropy,4.0,sqrt,0.0,best,0.6823899371069182
29,entropy,4.0,auto,0.0,best,0.6823899371069182
30,entropy,10.0,10,0.0,best,0.6799877707896576
31,gini,10.0,10,0.0,random,0.67972571628232
32,gini,5.0,sqrt,0.0,best,0.6775856044723969
33,gini,5.0,auto,0.0,best,0.6775856044723969
34,entropy,10.0,log2,0.0,random,0.6772361984626136
35,gini,,10,0.0,best,0.675358141160028
36,gini,,10,0.0,random,0.675314465408805
37,entropy,10.0,log2,0.0,best,0.6750960866526905
38,entropy,10.0,auto,0.0,best,0.6729996505939901
39,entropy,10.0,sqrt,0.0,best,0.6729996505939901
40,gini,4.0,log2,0.0,random,0.6729559748427673
41,gini,10.0,auto,0.0,best,0.6729122990915444
42,gini,10.0,sqrt,0.0,best,0.6729122990915444
43,entropy,5.0,auto,0.0,random,0.6706848357791754
44,entropy,5.0,sqrt,0.0,random,0.6706848357791754
45,entropy,5.0,10,0.0,random,0.6702917540181691
46,entropy,,auto,0.0,best,0.6682826694619147
47,entropy,,sqrt,0.0,best,0.6682826694619147
48,entropy,,10,0.0,random,0.6657494758909853
49,gini,,sqrt,0.0,best,0.6636967155835081
50,gini,,auto,0.0,best,0.6636967155835081
51,gini,5.0,10,0.0,best,0.6635220125786163
52,entropy,,sqrt,0.0,random,0.6633909853249476
53,entropy,,auto,0.0,random,0.6633909853249476
54,gini,,sqrt,0.0,random,0.6611635220125787
55,gini,,auto,0.0,random,0.6611635220125787
56,entropy,,,0.0,random,0.6588050314465408
57,entropy,4.0,auto,0.0,random,0.6566649196366178
58,entropy,4.0,sqrt,0.0,random,0.6566649196366178
59,entropy,3.0,auto,0.0,best,0.6564902166317261
60,entropy,3.0,sqrt,0.0,best,0.6564902166317261
61,entropy,,,0.0,best,0.6564465408805031
62,gini,5.0,auto,0.0,random,0.6563591893780573
63,gini,5.0,sqrt,0.0,random,0.6563591893780573
64,entropy,5.0,sqrt,0.0,best,0.65430642907058
65,entropy,5.0,auto,0.0,best,0.65430642907058
66,entropy,5.0,10,0.0,best,0.654262753319357
67,gini,5.0,log2,0.0,best,0.6494147449336128
68,entropy,10.0,sqrt,0.0,random,0.64937106918239
69,entropy,10.0,auto,0.0,random,0.64937106918239
70,gini,4.0,log2,0.0,best,0.6474493361285815
71,entropy,3.0,sqrt,0.0,random,0.6473619846261356
72,entropy,3.0,auto,0.0,random,0.6473619846261356
73,entropy,,log2,0.0,best,0.6466631726065688
74,gini,10.0,log2,0.0,best,0.6427323549965059
75,entropy,4.0,10,0.0,best,0.6403301886792453
76,gini,4.0,10,0.0,best,0.6402865129280224
77,gini,10.0,auto,0.0,random,0.6400244584206849
78,gini,10.0,sqrt,0.0,random,0.6400244584206849
79,entropy,4.0,log2,0.0,best,0.6355695317959469
80,entropy,5.0,log2,0.0,random,0.635525856044724
81,entropy,,10,0.0,best,0.6309835779175401
82,entropy,4.0,log2,0.0,random,0.6308088749126485
83,entropy,,log2,0.0,random,0.6306778476589797
84,gini,3.0,auto,0.0,best,0.6285377358490566
85,gini,3.0,sqrt,0.0,best,0.6285377358490566
86,entropy,5.0,log2,0.0,best,0.6284940600978337
87,gini,,1,0.0,best,0.628319357092942
88,gini,3.0,auto,0.0,random,0.6263539482879106
89,gini,3.0,sqrt,0.0,random,0.6263539482879106
90,gini,4.0,sqrt,0.0,random,0.6263102725366876
91,gini,4.0,auto,0.0,random,0.6263102725366876
92,gini,5.0,log2,0.0,random,0.6261355695317959
93,gini,3.0,10,0.0,best,0.621636967155835
94,gini,,log2,0.0,best,0.6165705800139762
95,entropy,3.0,10,0.0,best,0.614517819706499
96,gini,,log2,0.0,random,0.6143867924528301
97,entropy,3.0,log2,0.0,best,0.6119846261355695
98,entropy,10.0,1,0.0,best,0.6029000698812019
99,gini,10.0,1,0.0,best,0.6028563941299789
100,gini,3.0,log2,0.0,best,0.6028563941299789
101,gini,4.0,1,0.0,best,0.6003668763102725
102,entropy,4.0,1,0.0,best,0.6003668763102725
103,entropy,,1,0.0,best,0.6002795248078268
104,gini,3.0,1,0.0,best,0.5980957372466806
105,entropy,3.0,1,0.0,best,0.5980957372466806
106,entropy,5.0,1,0.0,best,0.5979647099930119
107,gini,5.0,1,0.0,best,0.5979647099930119
108,entropy,4.0,1,0.0,random,0.5957809224318659
109,gini,4.0,1,0.0,random,0.5957809224318659
110,entropy,10.0,1,0.0,random,0.5887491264849756
111,gini,10.0,1,0.0,random,0.5887491264849756
112,entropy,3.0,log2,0.0,random,0.5885744234800838
113,gini,,1,0.0,random,0.5866090146750524
114,entropy,,1,0.0,random,0.5866090146750524
115,entropy,5.0,1,0.0,random,0.5865653389238294
116,gini,5.0,1,0.0,random,0.5865653389238294
117,entropy,3.0,1,0.0,random,0.5841631726065688
118,gini,3.0,1,0.0,random,0.5841631726065688
119,entropy,5.0,auto,1.0,best,0.5841194968553458
120,entropy,5.0,auto,1.0,random,0.5841194968553458
121,gini,3.0,log2,2.0,random,0.5841194968553458
122,entropy,4.0,10,2.0,best,0.5841194968553458
123,entropy,5.0,auto,2.0,best,0.5841194968553458
124,entropy,5.0,auto,2.0,random,0.5841194968553458
125,gini,3.0,log2,3.0,best,0.5841194968553458
126,entropy,5.0,auto,3.0,random,0.5841194968553458
127,entropy,5.0,auto,4.0,best,0.5841194968553458
128,entropy,5.0,auto,4.0,random,0.5841194968553458
129,entropy,5.0,auto,3.0,best,0.5841194968553458
130,entropy,4.0,10,4.0,random,0.5841194968553458
131,entropy,4.0,10,5.0,random,0.5841194968553458
132,entropy,4.0,10,5.0,best,0.5841194968553458
133,gini,3.0,log2,4.0,best,0.5841194968553458
134,entropy,4.0,10,4.0,best,0.5841194968553458
135,gini,3.0,log2,3.0,random,0.5841194968553458
136,entropy,4.0,10,3.0,random,0.5841194968553458
137,entropy,4.0,10,3.0,best,0.5841194968553458
138,entropy,4.0,10,1.0,best,0.5841194968553458
139,entropy,4.0,10,1.0,random,0.5841194968553458
140,entropy,4.0,10,2.0,random,0.5841194968553458
141,entropy,5.0,sqrt,2.0,random,0.5841194968553458
142,entropy,5.0,auto,5.0,best,0.5841194968553458
143,entropy,5.0,,2.0,random,0.5841194968553458
144,entropy,5.0,log2,4.0,best,0.5841194968553458
145,entropy,5.0,log2,4.0,random,0.5841194968553458
146,entropy,5.0,log2,5.0,best,0.5841194968553458
147,entropy,5.0,log2,5.0,random,0.5841194968553458
148,entropy,5.0,,1.0,best,0.5841194968553458
149,entropy,5.0,,1.0,random,0.5841194968553458
150,entropy,5.0,,2.0,best,0.5841194968553458
151,entropy,5.0,,3.0,best,0.5841194968553458
152,entropy,5.0,auto,5.0,random,0.5841194968553458
153,entropy,5.0,,3.0,random,0.5841194968553458
154,entropy,5.0,,4.0,best,0.5841194968553458
155,entropy,5.0,,4.0,random,0.5841194968553458
156,entropy,5.0,,5.0,best,0.5841194968553458
157,entropy,5.0,,5.0,random,0.5841194968553458
158,entropy,5.0,1,1.0,best,0.5841194968553458
159,entropy,5.0,1,1.0,random,0.5841194968553458
160,entropy,5.0,log2,3.0,random,0.5841194968553458
161,entropy,5.0,log2,3.0,best,0.5841194968553458
162,entropy,5.0,log2,2.0,random,0.5841194968553458
163,entropy,5.0,log2,2.0,best,0.5841194968553458
164,gini,3.0,log2,2.0,best,0.5841194968553458
165,gini,3.0,log2,1.0,random,0.5841194968553458
166,entropy,5.0,sqrt,1.0,best,0.5841194968553458
167,entropy,5.0,sqrt,1.0,random,0.5841194968553458
168,entropy,5.0,sqrt,2.0,best,0.5841194968553458
169,entropy,4.0,1,5.0,best,0.5841194968553458
170,entropy,5.0,sqrt,3.0,best,0.5841194968553458
171,entropy,5.0,sqrt,3.0,random,0.5841194968553458
172,entropy,5.0,sqrt,4.0,best,0.5841194968553458
173,entropy,5.0,sqrt,4.0,random,0.5841194968553458
174,entropy,5.0,sqrt,5.0,best,0.5841194968553458
175,entropy,5.0,sqrt,5.0,random,0.5841194968553458
176,gini,3.0,log2,1.0,best,0.5841194968553458
177,entropy,5.0,log2,1.0,best,0.5841194968553458
178,entropy,5.0,log2,1.0,random,0.5841194968553458
179,entropy,4.0,1,5.0,random,0.5841194968553458
180,entropy,4.0,1,1.0,best,0.5841194968553458
181,entropy,4.0,1,4.0,random,0.5841194968553458
182,gini,3.0,,3.0,best,0.5841194968553458
183,entropy,4.0,auto,1.0,best,0.5841194968553458
184,entropy,4.0,auto,1.0,random,0.5841194968553458
185,entropy,4.0,auto,2.0,best,0.5841194968553458
186,entropy,4.0,auto,2.0,random,0.5841194968553458
187,entropy,4.0,auto,3.0,best,0.5841194968553458
188,entropy,4.0,auto,3.0,random,0.5841194968553458
189,entropy,4.0,auto,4.0,best,0.5841194968553458
190,entropy,4.0,auto,4.0,random,0.5841194968553458
191,entropy,4.0,auto,5.0,best,0.5841194968553458
192,entropy,4.0,auto,5.0,random,0.5841194968553458
193,gini,3.0,,2.0,best,0.5841194968553458
194,gini,3.0,,1.0,random,0.5841194968553458
195,entropy,4.0,sqrt,1.0,best,0.5841194968553458
196,entropy,4.0,sqrt,1.0,random,0.5841194968553458
197,entropy,4.0,sqrt,2.0,best,0.5841194968553458
198,gini,3.0,,2.0,random,0.5841194968553458
199,entropy,3.0,10,5.0,random,0.5841194968553458
200,entropy,4.0,1,4.0,best,0.5841194968553458
201,entropy,3.0,10,5.0,best,0.5841194968553458
202,entropy,3.0,1,3.0,best,0.5841194968553458
203,entropy,3.0,1,3.0,random,0.5841194968553458
204,entropy,3.0,1,4.0,best,0.5841194968553458
205,entropy,3.0,1,4.0,random,0.5841194968553458
206,entropy,3.0,1,5.0,best,0.5841194968553458
207,entropy,3.0,1,5.0,random,0.5841194968553458
208,gini,3.0,,3.0,random,0.5841194968553458
209,entropy,3.0,10,1.0,best,0.5841194968553458
210,entropy,3.0,10,1.0,random,0.5841194968553458
211,entropy,3.0,10,2.0,best,0.5841194968553458
212,entropy,3.0,10,2.0,random,0.5841194968553458
213,entropy,3.0,10,3.0,best,0.5841194968553458
214,entropy,3.0,10,3.0,random,0.5841194968553458
215,entropy,3.0,10,4.0,best,0.5841194968553458
216,entropy,3.0,10,4.0,random,0.5841194968553458
217,entropy,4.0,sqrt,2.0,random,0.5841194968553458
218,entropy,4.0,sqrt,3.0,best,0.5841194968553458
219,entropy,4.0,sqrt,3.0,random,0.5841194968553458
220,entropy,4.0,sqrt,4.0,best,0.5841194968553458
221,entropy,4.0,,1.0,random,0.5841194968553458
222,entropy,4.0,,2.0,best,0.5841194968553458
223,entropy,4.0,,2.0,random,0.5841194968553458
224,entropy,4.0,,3.0,best,0.5841194968553458
225,entropy,4.0,,3.0,random,0.5841194968553458
226,entropy,4.0,,4.0,best,0.5841194968553458
227,entropy,4.0,,4.0,random,0.5841194968553458
228,entropy,4.0,,5.0,best,0.5841194968553458
229,entropy,4.0,,5.0,random,0.5841194968553458
230,entropy,5.0,1,2.0,random,0.5841194968553458
231,entropy,4.0,1,1.0,random,0.5841194968553458
232,entropy,4.0,1,2.0,best,0.5841194968553458
233,entropy,4.0,1,2.0,random,0.5841194968553458
234,entropy,4.0,1,3.0,best,0.5841194968553458
235,entropy,4.0,1,3.0,random,0.5841194968553458
236,entropy,4.0,,1.0,best,0.5841194968553458
237,gini,3.0,log2,4.0,random,0.5841194968553458
238,gini,3.0,log2,5.0,best,0.5841194968553458
239,entropy,4.0,log2,1.0,random,0.5841194968553458
240,entropy,4.0,sqrt,4.0,random,0.5841194968553458
241,entropy,4.0,sqrt,5.0,best,0.5841194968553458
242,entropy,4.0,sqrt,5.0,random,0.5841194968553458
243,gini,3.0,,1.0,best,0.5841194968553458
244,gini,3.0,log2,5.0,random,0.5841194968553458
245,entropy,4.0,log2,1.0,best,0.5841194968553458
246,entropy,4.0,log2,2.0,best,0.5841194968553458
247,entropy,4.0,log2,5.0,random,0.5841194968553458
248,entropy,4.0,log2,2.0,random,0.5841194968553458
249,entropy,4.0,log2,3.0,best,0.5841194968553458
250,entropy,4.0,log2,3.0,random,0.5841194968553458
251,entropy,4.0,log2,4.0,best,0.5841194968553458
252,entropy,4.0,log2,4.0,random,0.5841194968553458
253,entropy,4.0,log2,5.0,best,0.5841194968553458
254,entropy,5.0,1,2.0,best,0.5841194968553458
255,entropy,5.0,1,5.0,random,0.5841194968553458
256,entropy,5.0,1,3.0,best,0.5841194968553458
257,entropy,,sqrt,4.0,random,0.5841194968553458
258,entropy,,sqrt,1.0,best,0.5841194968553458
259,entropy,,sqrt,1.0,random,0.5841194968553458
260,entropy,,sqrt,2.0,best,0.5841194968553458
261,entropy,,sqrt,2.0,random,0.5841194968553458
262,entropy,,sqrt,3.0,best,0.5841194968553458
263,entropy,,sqrt,3.0,random,0.5841194968553458
264,entropy,,sqrt,4.0,best,0.5841194968553458
265,entropy,,sqrt,5.0,best,0.5841194968553458
266,gini,3.0,auto,4.0,random,0.5841194968553458
267,entropy,,sqrt,5.0,random,0.5841194968553458
268,gini,3.0,auto,3.0,random,0.5841194968553458
269,gini,3.0,auto,3.0,best,0.5841194968553458
