,algorithm,learning_rate,n_estimators,Accuracy
0,SAMME,0.5,1000,0.782713137665968
1,SAMME,1.0,50,0.7709206848357792
2,SAMME,0.5,50,0.7686495457721872
3,SAMME,1.0,100,0.7685621942697415
4,SAMME,0.1,50,0.7662910552061495
5,SAMME,0.1,100,0.7662910552061495
6,SAMME,0.5,100,0.7662910552061495
7,SAMME,0.1,1000,0.7639325646401118
8,SAMME,1.0,1000,0.7336652690426275
9,SAMME,2.0,50,0.7127882599580713
10,SAMME,2.0,100,0.7102550663871419
11,SAMME,2.0,1000,0.7055380852550664
12,SAMME,0.1,1,0.7055380852550663
13,SAMME.R,2.0,1,0.7055380852550663
14,SAMME.R,1.0,1,0.7055380852550663
15,SAMME.R,0.5,1,0.7055380852550663
16,SAMME.R,0.1,1,0.7055380852550663
17,SAMME,2.0,1,0.7055380852550663
18,SAMME,1.0,1,0.7055380852550663
19,SAMME,0.5,1,0.7055380852550663
20,SAMME.R,0.1,1000,0.7054944095038435
21,SAMME.R,0.1,100,0.7030048916841369
22,SAMME.R,0.5,50,0.6962351502445843
23,SAMME.R,0.1,50,0.6960604472396925
24,SAMME.R,0.5,100,0.6892907058001398
25,SAMME.R,0.5,1000,0.681909503843466
26,SAMME.R,1.0,1000,0.6725192173305381
27,SAMME.R,1.0,100,0.6633909853249476
28,SAMME.R,1.0,50,0.6611635220125787
29,SAMME.R,2.0,1000,0.6262665967854647
30,SAMME.R,2.0,50,0.614474143955276
31,SAMME.R,2.0,100,0.6123340321453529
