,algorithm,leaf_size,n_neighbors,p,weights,Accuracy
0,brute,91,9,3,distance,0.7639325646401118
1,auto,61,9,3,distance,0.7639325646401118
2,ball_tree,1,9,3,distance,0.7639325646401118
3,brute,21,9,3,distance,0.7639325646401118
4,auto,91,9,3,distance,0.7639325646401118
5,brute,31,9,3,distance,0.7639325646401118
6,auto,81,9,3,distance,0.7639325646401118
7,auto,71,9,3,distance,0.7639325646401118
8,brute,41,9,3,distance,0.7639325646401118
9,brute,51,9,3,distance,0.7639325646401118
10,brute,11,9,3,distance,0.7639325646401118
11,auto,51,9,3,distance,0.7639325646401118
12,auto,41,9,3,distance,0.7639325646401118
13,brute,61,9,3,distance,0.7639325646401118
14,auto,31,9,3,distance,0.7639325646401118
15,brute,71,9,3,distance,0.7639325646401118
16,auto,21,9,3,distance,0.7639325646401118
17,auto,11,9,3,distance,0.7639325646401118
18,ball_tree,11,9,3,distance,0.7639325646401118
19,ball_tree,21,9,3,distance,0.7639325646401118
20,auto,1,9,3,distance,0.7639325646401118
21,ball_tree,81,9,3,distance,0.7639325646401118
22,kd_tree,21,9,3,distance,0.7639325646401118
23,kd_tree,41,9,3,distance,0.7639325646401118
24,kd_tree,11,9,3,distance,0.7639325646401118
25,kd_tree,51,9,3,distance,0.7639325646401118
26,kd_tree,1,9,3,distance,0.7639325646401118
27,ball_tree,91,9,3,distance,0.7639325646401118
28,kd_tree,61,9,3,distance,0.7639325646401118
29,kd_tree,71,9,3,distance,0.7639325646401118
30,brute,1,9,3,distance,0.7639325646401118
31,ball_tree,71,9,3,distance,0.7639325646401118
32,ball_tree,61,9,3,distance,0.7639325646401118
33,kd_tree,81,9,3,distance,0.7639325646401118
34,ball_tree,51,9,3,distance,0.7639325646401118
35,kd_tree,91,9,3,distance,0.7639325646401118
36,ball_tree,41,9,3,distance,0.7639325646401118
37,ball_tree,31,9,3,distance,0.7639325646401118
38,brute,81,9,3,distance,0.7639325646401118
39,kd_tree,31,9,3,distance,0.7639325646401118
40,brute,11,7,2,distance,0.7617924528301887
41,auto,21,7,2,distance,0.7617924528301887
42,auto,61,7,2,distance,0.7617924528301887
43,kd_tree,41,7,2,distance,0.7617924528301887
44,auto,11,7,2,distance,0.7617924528301887
45,brute,31,7,2,distance,0.7617924528301887
46,kd_tree,71,7,2,distance,0.7617924528301887
47,brute,21,7,2,distance,0.7617924528301887
48,brute,61,7,2,distance,0.7617924528301887
49,brute,81,7,2,distance,0.7617924528301887
50,kd_tree,21,7,2,distance,0.7617924528301887
51,kd_tree,61,7,2,distance,0.7617924528301887
52,ball_tree,11,7,2,distance,0.7617924528301887
53,brute,91,7,2,distance,0.7617924528301887
54,auto,41,7,2,distance,0.7617924528301887
55,auto,81,7,2,distance,0.7617924528301887
56,auto,51,7,2,distance,0.7617924528301887
57,ball_tree,61,7,2,distance,0.7617924528301887
58,ball_tree,71,7,2,distance,0.7617924528301887
59,auto,1,7,2,distance,0.7617924528301887
60,ball_tree,41,7,2,distance,0.7617924528301887
61,kd_tree,1,7,2,distance,0.7617924528301887
62,ball_tree,1,7,2,distance,0.7617924528301887
63,auto,71,7,2,distance,0.7617924528301887
64,kd_tree,11,7,2,distance,0.7617924528301887
65,brute,71,7,2,distance,0.7617924528301887
66,kd_tree,81,7,2,distance,0.7617924528301887
67,kd_tree,51,7,2,distance,0.7617924528301887
68,ball_tree,31,7,2,distance,0.7617924528301887
69,brute,41,7,2,distance,0.7617924528301887
70,ball_tree,91,7,2,distance,0.7617924528301887
71,auto,31,7,2,distance,0.7617924528301887
72,ball_tree,51,7,2,distance,0.7617924528301887
73,kd_tree,31,7,2,distance,0.7617924528301887
74,brute,1,7,2,distance,0.7617924528301887
75,brute,51,7,2,distance,0.7617924528301887
76,kd_tree,91,7,2,distance,0.7617924528301887
