,criterion,max_depth,max_features,min_impurity_decrease,n_estimators,Accuracy
569,entropy,10.0,sqrt,4.0,100,0.5841194968553458
570,entropy,10.0,sqrt,4.0,1000,0.5841194968553458
571,entropy,10.0,sqrt,5.0,1,0.5841194968553458
572,entropy,10.0,sqrt,5.0,10,0.5841194968553458
573,entropy,10.0,sqrt,5.0,100,0.5841194968553458
574,entropy,10.0,sqrt,5.0,1000,0.5841194968553458
575,gini,3.0,log2,3.0,10,0.5841194968553458
576,gini,3.0,log2,3.0,1,0.5841194968553458
577,gini,3.0,log2,2.0,1000,0.5841194968553458
578,entropy,10.0,log2,1.0,10,0.5841194968553458
579,entropy,10.0,sqrt,3.0,1,0.5841194968553458
580,entropy,10.0,log2,1.0,100,0.5841194968553458
581,entropy,10.0,log2,1.0,1000,0.5841194968553458
582,entropy,10.0,log2,2.0,1,0.5841194968553458
583,entropy,10.0,log2,2.0,10,0.5841194968553458
584,entropy,10.0,log2,2.0,100,0.5841194968553458
585,entropy,10.0,log2,2.0,1000,0.5841194968553458
586,entropy,10.0,log2,3.0,1,0.5841194968553458
587,entropy,10.0,log2,3.0,10,0.5841194968553458
588,entropy,10.0,log2,3.0,100,0.5841194968553458
589,entropy,10.0,log2,3.0,1000,0.5841194968553458
590,entropy,10.0,log2,4.0,1,0.5841194968553458
591,entropy,10.0,log2,4.0,10,0.5841194968553458
592,entropy,10.0,log2,4.0,100,0.5841194968553458
593,entropy,10.0,sqrt,3.0,10,0.5841194968553458
594,entropy,10.0,sqrt,2.0,1000,0.5841194968553458
595,entropy,10.0,10,3.0,1,0.5841194968553458
596,entropy,5.0,10,4.0,1000,0.5841194968553458
597,entropy,5.0,10,1.0,100,0.5841194968553458
598,entropy,5.0,10,1.0,1000,0.5841194968553458
599,entropy,5.0,10,2.0,1,0.5841194968553458
600,entropy,3.0,1,4.0,100,0.5841194968553458
601,entropy,5.0,10,2.0,100,0.5841194968553458
602,entropy,5.0,10,2.0,1000,0.5841194968553458
603,entropy,5.0,10,3.0,1,0.5841194968553458
604,entropy,5.0,10,3.0,10,0.5841194968553458
605,entropy,5.0,10,3.0,100,0.5841194968553458
606,entropy,5.0,10,3.0,1000,0.5841194968553458
607,entropy,5.0,10,4.0,1,0.5841194968553458
608,entropy,5.0,10,4.0,10,0.5841194968553458
609,entropy,5.0,10,4.0,100,0.5841194968553458
610,entropy,5.0,10,5.0,1,0.5841194968553458
611,entropy,10.0,sqrt,2.0,100,0.5841194968553458
612,entropy,5.0,10,5.0,10,0.5841194968553458
613,entropy,5.0,10,5.0,100,0.5841194968553458
614,entropy,5.0,10,5.0,1000,0.5841194968553458
615,gini,3.0,log2,4.0,10,0.5841194968553458
616,gini,3.0,log2,4.0,1,0.5841194968553458
617,gini,3.0,log2,3.0,1000,0.5841194968553458
618,gini,3.0,log2,3.0,100,0.5841194968553458
619,entropy,10.0,sqrt,1.0,1,0.5841194968553458
620,entropy,10.0,sqrt,1.0,10,0.5841194968553458
621,entropy,10.0,sqrt,1.0,100,0.5841194968553458
622,entropy,10.0,sqrt,1.0,1000,0.5841194968553458
623,entropy,10.0,sqrt,2.0,1,0.5841194968553458
624,entropy,10.0,sqrt,2.0,10,0.5841194968553458
625,entropy,10.0,log2,4.0,1000,0.5841194968553458
626,entropy,10.0,log2,5.0,1,0.5841194968553458
627,entropy,10.0,log2,5.0,10,0.5841194968553458
628,entropy,10.0,1,5.0,1,0.5841194968553458
629,entropy,10.0,1,1.0,1000,0.5841194968553458
630,entropy,10.0,1,2.0,1,0.5841194968553458
