,activation,alpha,hidden_layer_sizes,learning_rate,learning_rate_init,max_iter,solver,Accuracy
0,logistic,1.0,"(20,)",adaptive,0.001,200,lbfgs,0.7967767295597484
1,logistic,1.0,"(20,)",adaptive,0.1,200,lbfgs,0.7967767295597484
2,logistic,1.0,"(20,)",constant,1.0,200,lbfgs,0.7967767295597484
3,logistic,1.0,"(20,)",constant,10.0,200,lbfgs,0.7967767295597484
4,logistic,1.0,"(20,)",invscaling,10.0,200,lbfgs,0.7967767295597484
5,logistic,1.0,"(20,)",constant,0.1,200,lbfgs,0.7967767295597484
6,logistic,1.0,"(20,)",constant,0.01,200,lbfgs,0.7967767295597484
7,logistic,1.0,"(20,)",invscaling,0.0001,200,lbfgs,0.7967767295597484
8,logistic,1.0,"(20,)",constant,0.001,200,lbfgs,0.7967767295597484
9,logistic,1.0,"(20,)",adaptive,0.0001,200,lbfgs,0.7967767295597484
10,logistic,1.0,"(20,)",constant,0.0001,200,lbfgs,0.7967767295597484
11,logistic,1.0,"(20,)",invscaling,0.01,200,lbfgs,0.7967767295597484
12,logistic,1.0,"(20,)",adaptive,0.01,200,lbfgs,0.7967767295597484
13,logistic,1.0,"(20,)",invscaling,0.1,200,lbfgs,0.7967767295597484
14,logistic,1.0,"(20,)",invscaling,0.001,200,lbfgs,0.7967767295597484
15,logistic,1.0,"(20,)",adaptive,10.0,200,lbfgs,0.7967767295597484
16,logistic,1.0,"(20,)",invscaling,1.0,200,lbfgs,0.7967767295597484
17,logistic,1.0,"(20,)",adaptive,1.0,200,lbfgs,0.7967767295597484
18,logistic,1.0,"(20,)",constant,0.001,1000,lbfgs,0.7945055904961565
19,logistic,1.0,"(20,)",invscaling,1.0,1000,lbfgs,0.7945055904961565
20,logistic,1.0,"(20,)",invscaling,0.0001,1000,lbfgs,0.7945055904961565
21,logistic,1.0,"(20,)",constant,0.0001,1000,lbfgs,0.7945055904961565
22,logistic,1.0,"(20,)",adaptive,0.0001,1000,lbfgs,0.7945055904961565
23,logistic,1.0,"(20,)",adaptive,1.0,1000,lbfgs,0.7945055904961565
24,logistic,1.0,"(20,)",adaptive,0.1,1000,lbfgs,0.7945055904961565
25,logistic,1.0,"(20,)",adaptive,0.001,1000,lbfgs,0.7945055904961565
26,logistic,1.0,"(20,)",constant,0.01,1000,lbfgs,0.7945055904961565
27,logistic,1.0,"(20,)",invscaling,10.0,1000,lbfgs,0.7945055904961565
28,logistic,1.0,"(20,)",constant,0.1,1000,lbfgs,0.7945055904961565
29,logistic,1.0,"(20,)",constant,10.0,1000,lbfgs,0.7945055904961565
30,logistic,1.0,"(20,)",adaptive,10.0,1000,lbfgs,0.7945055904961565
31,logistic,1.0,"(20,)",invscaling,0.001,1000,lbfgs,0.7945055904961565
32,logistic,1.0,"(20,)",invscaling,0.1,1000,lbfgs,0.7945055904961565
33,logistic,1.0,"(20,)",constant,1.0,1000,lbfgs,0.7945055904961565
34,logistic,1.0,"(20,)",invscaling,0.01,1000,lbfgs,0.7945055904961565
35,logistic,1.0,"(20,)",adaptive,0.01,1000,lbfgs,0.7945055904961565
36,logistic,1.0,"(100,)",constant,0.1,100,lbfgs,0.7872990915443746
37,logistic,1.0,"(100,)",constant,0.001,100,lbfgs,0.7872990915443746
38,logistic,1.0,"(100,)",invscaling,0.1,100,lbfgs,0.7872990915443746
39,logistic,1.0,"(100,)",invscaling,0.0001,100,lbfgs,0.7872990915443746
40,logistic,1.0,"(100,)",invscaling,1.0,100,lbfgs,0.7872990915443746
41,logistic,1.0,"(100,)",constant,0.0001,100,lbfgs,0.7872990915443746
42,logistic,1.0,"(100,)",constant,0.01,100,lbfgs,0.7872990915443746
43,logistic,1.0,"(100,)",invscaling,10.0,100,lbfgs,0.7872990915443746
44,logistic,1.0,"(100,)",adaptive,0.0001,100,lbfgs,0.7872990915443746
45,tanh,1.0,"(100,)",adaptive,0.1,100,sgd,0.7872990915443746
46,logistic,1.0,"(100,)",adaptive,0.001,100,lbfgs,0.7872990915443746
47,logistic,1.0,"(100,)",adaptive,0.01,100,lbfgs,0.7872990915443746
48,logistic,1.0,"(100,)",adaptive,0.1,100,lbfgs,0.7872990915443746
49,logistic,1.0,"(100,)",constant,1.0,100,lbfgs,0.7872990915443746
50,logistic,1.0,"(100,)",adaptive,1.0,100,lbfgs,0.7872990915443746
51,logistic,1.0,"(100,)",adaptive,10.0,100,lbfgs,0.7872990915443746
52,logistic,1.0,"(100,)",invscaling,0.001,100,lbfgs,0.7872990915443746
53,tanh,1.0,"(100,)",constant,0.1,100,sgd,0.7872990915443746
54,logistic,1.0,"(100,)",constant,10.0,100,lbfgs,0.7872990915443746
55,logistic,1.0,"(100,)",invscaling,0.01,100,lbfgs,0.7872990915443746
56,identity,1.0,"(10, 30, 10)",adaptive,0.001,100,adam,0.7848969252271139
57,identity,1.0,"(10, 30, 10)",constant,0.001,100,adam,0.7848969252271139
58,identity,1.0,"(10, 30, 10)",invscaling,0.001,100,adam,0.7848969252271139
59,logistic,1.0,"(100,)",constant,1.0,1000,lbfgs,0.7827568134171907
60,logistic,1.0,"(100,)",adaptive,0.01,1000,lbfgs,0.7827568134171907
61,logistic,1.0,"(100,)",invscaling,0.0001,1000,lbfgs,0.7827568134171907
62,logistic,1.0,"(100,)",adaptive,0.001,1000,lbfgs,0.7827568134171907
63,logistic,1.0,"(100,)",invscaling,0.001,1000,lbfgs,0.7827568134171907
64,logistic,1.0,"(100,)",adaptive,0.0001,1000,lbfgs,0.7827568134171907
65,logistic,1.0,"(100,)",invscaling,10.0,1000,lbfgs,0.7827568134171907
66,logistic,1.0,"(100,)",constant,0.01,1000,lbfgs,0.7827568134171907
67,logistic,1.0,"(100,)",invscaling,1.0,1000,lbfgs,0.7827568134171907
68,logistic,1.0,"(100,)",constant,10.0,1000,lbfgs,0.7827568134171907
69,logistic,1.0,"(100,)",adaptive,10.0,1000,lbfgs,0.7827568134171907
70,logistic,1.0,"(100,)",adaptive,1.0,1000,lbfgs,0.7827568134171907
71,logistic,1.0,"(100,)",invscaling,0.1,1000,lbfgs,0.7827568134171907
72,logistic,1.0,"(100,)",constant,0.001,1000,lbfgs,0.7827568134171907
73,logistic,1.0,"(100,)",constant,0.1,1000,lbfgs,0.7827568134171907
74,logistic,1.0,"(100,)",adaptive,0.1,1000,lbfgs,0.7827568134171907
75,logistic,1.0,"(100,)",constant,0.0001,1000,lbfgs,0.7827568134171907
76,logistic,1.0,"(100,)",invscaling,0.01,1000,lbfgs,0.7827568134171907
77,tanh,1.0,"(100,)",adaptive,0.01,1000,sgd,0.782713137665968
78,tanh,1.0,"(100,)",constant,0.01,1000,sgd,0.782713137665968
79,relu,0.001,"(100,)",constant,0.001,200,adam,0.7803983228511531
80,relu,0.0001,"(100,)",constant,0.001,200,adam,0.7803983228511531
81,relu,0.0001,"(100,)",invscaling,0.001,200,adam,0.7803983228511531
82,relu,0.01,"(100,)",adaptive,0.001,200,adam,0.7803983228511531
83,relu,0.0001,"(100,)",adaptive,0.001,200,adam,0.7803983228511531
84,relu,0.001,"(100,)",invscaling,0.001,200,adam,0.7803983228511531
85,relu,0.001,"(100,)",adaptive,0.001,200,adam,0.7803983228511531
86,relu,0.01,"(100,)",constant,0.001,200,adam,0.7803983228511531
