,criterion,max_depth,max_features,min_impurity_decrease,splitter,Accuracy
0,gini,10.0,10,0.0,best,0.7686495457721874
1,entropy,4.0,,0.0,best,0.761617749825297
2,entropy,4.0,,0.0,random,0.7594339622641509
3,entropy,10.0,,0.0,best,0.7570317959468903
4,gini,3.0,10,0.0,best,0.7547169811320755
5,entropy,3.0,,0.0,best,0.7545859538784067
6,gini,4.0,,0.0,best,0.7523584905660378
7,entropy,5.0,,0.0,best,0.7523148148148149
8,gini,4.0,,0.0,random,0.7522711390635919
9,gini,3.0,,0.0,random,0.7522711390635919
10,gini,5.0,10,0.0,best,0.7500436757512229
11,entropy,3.0,,0.0,random,0.7499126484975542
12,gini,10.0,sqrt,0.0,best,0.747816212438854
13,gini,10.0,auto,0.0,best,0.747816212438854
14,entropy,10.0,10,0.0,best,0.7475104821802935
15,gini,3.0,,0.0,best,0.7452393431167017
16,gini,5.0,,0.0,best,0.7451519916142557
17,entropy,5.0,,0.0,random,0.7430555555555556
18,gini,10.0,,0.0,random,0.7427061495457722
19,gini,10.0,,0.0,best,0.7359364081062194
20,gini,5.0,,0.0,random,0.7359364081062194
21,gini,10.0,10,0.0,random,0.7314378057302586
22,gini,4.0,10,0.0,best,0.7314378057302585
23,entropy,4.0,10,0.0,best,0.7311757512229211
24,entropy,3.0,auto,0.0,best,0.7265897973445143
25,entropy,3.0,sqrt,0.0,best,0.7265897973445143
26,gini,5.0,sqrt,0.0,best,0.7244496855345912
27,gini,5.0,auto,0.0,best,0.7244496855345912
28,entropy,4.0,10,0.0,random,0.7244060097833682
29,gini,5.0,10,0.0,random,0.7242313067784767
30,entropy,,,0.0,best,0.7241439552760307
31,gini,4.0,10,0.0,random,0.7220911949685533
32,entropy,5.0,10,0.0,random,0.7219601677148847
33,gini,,10,0.0,best,0.7219164919636618
34,entropy,5.0,auto,0.0,best,0.7197327044025157
35,entropy,5.0,sqrt,0.0,best,0.7197327044025157
36,entropy,,10,0.0,best,0.7196016771488469
37,entropy,3.0,10,0.0,best,0.7195143256464012
38,entropy,10.0,log2,0.0,best,0.717330538085255
39,entropy,10.0,auto,0.0,best,0.717286862334032
40,gini,,10,0.0,random,0.717286862334032
41,entropy,10.0,sqrt,0.0,best,0.717286862334032
42,entropy,5.0,10,0.0,best,0.7148410202655485
43,gini,3.0,auto,0.0,best,0.7147973445143256
44,gini,3.0,sqrt,0.0,best,0.7147973445143256
45,gini,,log2,0.0,best,0.7127882599580713
46,entropy,10.0,,0.0,random,0.7126135569531795
47,gini,,auto,0.0,best,0.7124825296995109
48,gini,,sqrt,0.0,best,0.7124825296995109
49,gini,5.0,auto,0.0,random,0.7102550663871419
50,gini,5.0,sqrt,0.0,random,0.7102550663871419
51,entropy,5.0,sqrt,0.0,random,0.7077218728162125
52,entropy,5.0,auto,0.0,random,0.7077218728162125
53,gini,10.0,auto,0.0,random,0.7055380852550663
54,gini,10.0,sqrt,0.0,random,0.7055380852550663
55,entropy,10.0,10,0.0,random,0.7032232704402516
56,gini,,,0.0,random,0.7030922431865827
57,entropy,4.0,sqrt,0.0,best,0.6986809923130678
58,entropy,4.0,auto,0.0,best,0.6986809923130678
59,entropy,,10,0.0,random,0.6985936408106219
60,entropy,10.0,auto,0.0,random,0.6961041229909155
61,entropy,10.0,sqrt,0.0,random,0.6961041229909155
62,entropy,10.0,log2,0.0,random,0.6961041229909155
63,entropy,,sqrt,0.0,best,0.6941387141858839
64,entropy,,auto,0.0,best,0.6941387141858839
65,gini,10.0,log2,0.0,best,0.6939640111809924
66,gini,4.0,auto,0.0,best,0.6893343815513626
67,gini,4.0,sqrt,0.0,best,0.6893343815513626
68,gini,,,0.0,best,0.6892470300489169
69,gini,5.0,log2,0.0,random,0.686932215234102
70,entropy,,,0.0,random,0.6868448637316562
71,gini,10.0,log2,0.0,random,0.6843116701607268
72,gini,5.0,log2,0.0,best,0.6822152341020264
73,entropy,,log2,0.0,best,0.6821715583508037
74,entropy,,log2,0.0,random,0.6799004192872118
75,entropy,5.0,log2,0.0,best,0.6776292802236198
76,entropy,5.0,log2,0.0,random,0.6729996505939903
77,gini,,auto,0.0,random,0.6727375960866527
78,gini,,sqrt,0.0,random,0.6727375960866527
79,entropy,3.0,log2,0.0,best,0.6705101327742837
80,gini,,log2,0.0,random,0.6705101327742836
81,gini,3.0,log2,0.0,best,0.6682389937106918
82,entropy,4.0,log2,0.0,best,0.6611635220125787
83,entropy,,sqrt,0.0,random,0.6588050314465409
84,entropy,,auto,0.0,random,0.6588050314465409
85,gini,4.0,log2,0.0,best,0.6565338923829489
86,entropy,4.0,log2,0.0,random,0.652078965758211
87,gini,4.0,log2,0.0,random,0.6451781970649895
88,entropy,4.0,auto,0.0,random,0.6422519217330538
89,entropy,4.0,sqrt,0.0,random,0.6422519217330538
90,entropy,,1,0.0,random,0.642164570230608
91,gini,,1,0.0,random,0.642164570230608
92,entropy,3.0,10,0.0,random,0.6376659678546471
93,gini,3.0,10,0.0,random,0.6375786163522013
94,gini,3.0,auto,0.0,random,0.628319357092942
95,gini,3.0,sqrt,0.0,random,0.628319357092942
96,gini,10.0,1,0.0,random,0.6238644304682041
97,entropy,10.0,1,0.0,random,0.6238644304682041
98,entropy,3.0,sqrt,0.0,random,0.6236897274633123
99,entropy,3.0,auto,0.0,random,0.6236897274633123
100,gini,3.0,log2,0.0,random,0.6214622641509434
101,gini,10.0,1,0.0,best,0.6191037735849056
102,gini,4.0,sqrt,0.0,random,0.6144304682040531
103,gini,4.0,auto,0.0,random,0.6144304682040531
104,gini,,1,0.0,best,0.6072676450034941
105,entropy,10.0,1,0.0,best,0.5888801537386443
106,gini,4.0,1,0.0,best,0.5887928022361985
107,entropy,4.0,1,0.0,best,0.5887928022361985
108,gini,5.0,1,0.0,best,0.5863906359189379
109,entropy,5.0,1,0.0,best,0.5863469601677149
110,entropy,4.0,10,2.0,best,0.5841194968553458
111,entropy,4.0,10,3.0,random,0.5841194968553458
112,entropy,4.0,10,3.0,best,0.5841194968553458
113,entropy,4.0,10,2.0,random,0.5841194968553458
114,entropy,4.0,10,1.0,best,0.5841194968553458
115,entropy,4.0,1,2.0,random,0.5841194968553458
116,entropy,4.0,10,1.0,random,0.5841194968553458
117,gini,3.0,sqrt,2.0,best,0.5841194968553458
118,entropy,4.0,1,4.0,best,0.5841194968553458
119,entropy,4.0,1,3.0,random,0.5841194968553458
120,entropy,4.0,1,4.0,random,0.5841194968553458
121,entropy,4.0,1,5.0,best,0.5841194968553458
122,entropy,4.0,1,5.0,random,0.5841194968553458
123,gini,3.0,sqrt,1.0,random,0.5841194968553458
124,entropy,4.0,1,3.0,best,0.5841194968553458
125,gini,3.0,,4.0,best,0.5841194968553458
126,entropy,4.0,10,4.0,best,0.5841194968553458
127,entropy,5.0,log2,1.0,random,0.5841194968553458
128,entropy,5.0,sqrt,3.0,random,0.5841194968553458
129,entropy,5.0,sqrt,4.0,best,0.5841194968553458
130,entropy,5.0,sqrt,4.0,random,0.5841194968553458
131,entropy,5.0,sqrt,5.0,best,0.5841194968553458
132,entropy,5.0,sqrt,5.0,random,0.5841194968553458
133,entropy,5.0,log2,1.0,best,0.5841194968553458
134,entropy,5.0,log2,2.0,best,0.5841194968553458
135,entropy,5.0,sqrt,2.0,random,0.5841194968553458
136,entropy,5.0,log2,2.0,random,0.5841194968553458
137,entropy,5.0,log2,3.0,best,0.5841194968553458
138,entropy,5.0,log2,3.0,random,0.5841194968553458
139,entropy,5.0,log2,4.0,best,0.5841194968553458
140,entropy,5.0,log2,4.0,random,0.5841194968553458
141,entropy,5.0,log2,5.0,best,0.5841194968553458
142,entropy,5.0,sqrt,3.0,best,0.5841194968553458
143,entropy,5.0,sqrt,2.0,best,0.5841194968553458
144,entropy,4.0,10,4.0,random,0.5841194968553458
145,entropy,4.0,1,2.0,best,0.5841194968553458
146,entropy,4.0,10,5.0,best,0.5841194968553458
147,entropy,4.0,10,5.0,random,0.5841194968553458
148,gini,3.0,sqrt,1.0,best,0.5841194968553458
149,entropy,5.0,auto,1.0,best,0.5841194968553458
150,entropy,5.0,auto,1.0,random,0.5841194968553458
151,entropy,5.0,auto,2.0,best,0.5841194968553458
152,entropy,5.0,auto,3.0,best,0.5841194968553458
153,entropy,5.0,sqrt,1.0,random,0.5841194968553458
154,entropy,5.0,auto,3.0,random,0.5841194968553458
155,entropy,5.0,auto,4.0,best,0.5841194968553458
156,entropy,5.0,auto,4.0,random,0.5841194968553458
157,entropy,5.0,auto,5.0,best,0.5841194968553458
158,entropy,5.0,auto,5.0,random,0.5841194968553458
159,entropy,5.0,sqrt,1.0,best,0.5841194968553458
160,entropy,5.0,auto,2.0,random,0.5841194968553458
161,gini,3.0,sqrt,3.0,best,0.5841194968553458
162,entropy,4.0,1,1.0,random,0.5841194968553458
163,entropy,3.0,1,5.0,best,0.5841194968553458
164,gini,3.0,sqrt,3.0,random,0.5841194968553458
165,entropy,3.0,10,1.0,best,0.5841194968553458
166,entropy,3.0,10,1.0,random,0.5841194968553458
167,entropy,3.0,10,2.0,best,0.5841194968553458
168,entropy,3.0,10,2.0,random,0.5841194968553458
169,entropy,3.0,10,3.0,best,0.5841194968553458
170,entropy,3.0,10,3.0,random,0.5841194968553458
171,entropy,3.0,10,4.0,best,0.5841194968553458
172,entropy,3.0,10,4.0,random,0.5841194968553458
173,entropy,3.0,10,5.0,best,0.5841194968553458
174,entropy,3.0,10,5.0,random,0.5841194968553458
175,entropy,4.0,auto,1.0,best,0.5841194968553458
176,entropy,4.0,auto,1.0,random,0.5841194968553458
177,entropy,4.0,auto,2.0,best,0.5841194968553458
178,entropy,4.0,auto,2.0,random,0.5841194968553458
179,entropy,3.0,1,5.0,random,0.5841194968553458
180,entropy,3.0,1,4.0,random,0.5841194968553458
181,entropy,4.0,1,1.0,best,0.5841194968553458
182,entropy,3.0,1,4.0,best,0.5841194968553458
183,entropy,3.0,,1.0,random,0.5841194968553458
184,entropy,3.0,,2.0,best,0.5841194968553458
185,entropy,3.0,,2.0,random,0.5841194968553458
186,entropy,3.0,,3.0,best,0.5841194968553458
187,entropy,3.0,,3.0,random,0.5841194968553458
188,entropy,3.0,,4.0,best,0.5841194968553458
189,entropy,3.0,,4.0,random,0.5841194968553458
190,entropy,3.0,,5.0,best,0.5841194968553458
191,entropy,3.0,,5.0,random,0.5841194968553458
192,entropy,3.0,1,1.0,best,0.5841194968553458
193,entropy,3.0,1,1.0,random,0.5841194968553458
194,entropy,3.0,1,2.0,best,0.5841194968553458
195,entropy,3.0,1,2.0,random,0.5841194968553458
196,entropy,3.0,1,3.0,best,0.5841194968553458
197,entropy,3.0,1,3.0,random,0.5841194968553458
198,entropy,4.0,auto,3.0,best,0.5841194968553458
199,entropy,4.0,auto,3.0,random,0.5841194968553458
200,entropy,4.0,auto,4.0,best,0.5841194968553458
201,entropy,4.0,auto,4.0,random,0.5841194968553458
202,entropy,4.0,log2,4.0,best,0.5841194968553458
203,entropy,4.0,log2,4.0,random,0.5841194968553458
204,entropy,4.0,log2,5.0,best,0.5841194968553458
205,entropy,4.0,log2,5.0,random,0.5841194968553458
206,gini,3.0,sqrt,2.0,random,0.5841194968553458
207,entropy,4.0,,1.0,best,0.5841194968553458
208,entropy,4.0,,1.0,random,0.5841194968553458
209,entropy,4.0,,2.0,best,0.5841194968553458
210,entropy,4.0,,2.0,random,0.5841194968553458
211,entropy,4.0,,3.0,best,0.5841194968553458
212,entropy,4.0,,3.0,random,0.5841194968553458
213,entropy,4.0,,4.0,best,0.5841194968553458
214,entropy,4.0,,4.0,random,0.5841194968553458
215,entropy,4.0,,5.0,best,0.5841194968553458
