,activation,alpha,hidden_layer_sizes,learning_rate,learning_rate_init,max_iter,solver,Accuracy
0,relu,0.1,"(100,)",adaptive,0.001,100,adam,0.824729210342418
1,relu,0.01,"(100,)",constant,0.001,200,adam,0.824729210342418
2,relu,0.1,"(100,)",invscaling,0.001,100,adam,0.824729210342418
3,relu,0.01,"(100,)",invscaling,0.001,200,adam,0.824729210342418
4,relu,0.01,"(100,)",adaptive,0.001,200,adam,0.824729210342418
5,relu,0.1,"(100,)",constant,0.001,100,adam,0.824729210342418
6,relu,1.0,"(100,)",constant,0.001,200,adam,0.822458071278826
7,relu,1.0,"(100,)",invscaling,0.001,200,adam,0.822458071278826
8,relu,1.0,"(100,)",adaptive,0.001,200,adam,0.822458071278826
9,relu,0.0001,"(100,)",adaptive,0.001,200,adam,0.8224143955276031
10,relu,1e-05,"(100,)",invscaling,0.001,200,adam,0.8224143955276031
11,relu,0.1,"(100,)",invscaling,0.001,200,adam,0.8224143955276031
12,relu,0.1,"(100,)",constant,0.001,200,adam,0.8224143955276031
13,relu,0.1,"(100,)",adaptive,0.001,200,adam,0.8224143955276031
14,relu,0.0001,"(100,)",invscaling,0.001,200,adam,0.8224143955276031
15,relu,0.001,"(100,)",constant,0.001,200,adam,0.8224143955276031
16,relu,1e-05,"(100,)",adaptive,0.001,200,adam,0.8224143955276031
17,relu,0.001,"(100,)",invscaling,0.001,200,adam,0.8224143955276031
18,relu,0.001,"(100,)",adaptive,0.001,200,adam,0.8224143955276031
19,relu,0.0001,"(100,)",constant,0.001,200,adam,0.8224143955276031
20,relu,1e-05,"(100,)",constant,0.001,200,adam,0.8224143955276031
21,relu,0.1,"(100,)",constant,0.01,200,sgd,0.8223707197763802
22,relu,0.1,"(100,)",adaptive,0.01,200,sgd,0.8223707197763802
23,tanh,1.0,"(10, 30, 10)",invscaling,0.0001,1000,adam,0.8223270440251573
24,tanh,1.0,"(10, 30, 10)",constant,0.0001,1000,adam,0.8223270440251573
25,tanh,1.0,"(10, 30, 10)",adaptive,0.0001,1000,adam,0.8223270440251573
26,tanh,10.0,"(10, 30, 10)",constant,0.01,1000,sgd,0.8222833682739343
27,tanh,10.0,"(10, 30, 10)",adaptive,0.01,1000,sgd,0.8222833682739343
28,relu,10.0,"(100,)",invscaling,0.001,200,lbfgs,0.8222396925227113
29,tanh,10.0,"(10, 30, 10)",invscaling,0.001,1000,adam,0.8222396925227113
30,relu,10.0,"(100,)",adaptive,0.1,200,lbfgs,0.8222396925227113
31,relu,10.0,"(100,)",invscaling,0.01,200,lbfgs,0.8222396925227113
32,relu,10.0,"(100,)",adaptive,1.0,200,lbfgs,0.8222396925227113
33,relu,10.0,"(100,)",constant,0.0001,200,lbfgs,0.8222396925227113
34,relu,10.0,"(100,)",constant,0.001,200,lbfgs,0.8222396925227113
35,tanh,10.0,"(10, 30, 10)",constant,0.001,1000,adam,0.8222396925227113
36,relu,10.0,"(100,)",invscaling,0.1,200,lbfgs,0.8222396925227113
37,relu,10.0,"(100,)",constant,0.01,200,lbfgs,0.8222396925227113
38,relu,10.0,"(100,)",invscaling,10.0,200,lbfgs,0.8222396925227113
39,tanh,10.0,"(10, 30, 10)",adaptive,0.001,1000,adam,0.8222396925227113
40,relu,10.0,"(100,)",adaptive,0.01,200,lbfgs,0.8222396925227113
41,relu,10.0,"(100,)",constant,0.1,200,lbfgs,0.8222396925227113
42,relu,10.0,"(100,)",adaptive,0.001,200,lbfgs,0.8222396925227113
43,relu,10.0,"(100,)",invscaling,0.0001,200,lbfgs,0.8222396925227113
44,relu,10.0,"(100,)",constant,10.0,200,lbfgs,0.8222396925227113
45,logistic,1.0,"(20,)",adaptive,0.01,1000,sgd,0.8222396925227113
46,relu,10.0,"(100,)",invscaling,1.0,200,lbfgs,0.8222396925227113
47,relu,10.0,"(100,)",adaptive,0.0001,200,lbfgs,0.8222396925227113
48,relu,10.0,"(100,)",adaptive,10.0,200,lbfgs,0.8222396925227113
49,logistic,1.0,"(20,)",constant,0.01,1000,sgd,0.8222396925227113
50,relu,10.0,"(100,)",constant,1.0,200,lbfgs,0.8222396925227113
51,relu,0.01,"(100,)",invscaling,0.001,100,adam,0.8200995807127882
52,tanh,1.0,"(100,)",constant,1.0,1000,lbfgs,0.8200995807127882
53,tanh,1.0,"(100,)",invscaling,0.0001,1000,lbfgs,0.8200995807127882
54,relu,0.001,"(100,)",adaptive,0.001,100,adam,0.8200995807127882
55,tanh,1.0,"(100,)",constant,0.1,1000,lbfgs,0.8200995807127882
56,relu,1e-05,"(100,)",constant,0.001,100,adam,0.8200995807127882
57,relu,0.0001,"(100,)",adaptive,0.001,100,adam,0.8200995807127882
58,tanh,1.0,"(100,)",constant,0.0001,1000,lbfgs,0.8200995807127882
59,relu,1e-05,"(100,)",adaptive,0.001,100,adam,0.8200995807127882
60,tanh,1.0,"(100,)",adaptive,0.0001,1000,lbfgs,0.8200995807127882
61,relu,0.0001,"(100,)",invscaling,0.001,100,adam,0.8200995807127882
62,relu,0.01,"(100,)",adaptive,0.001,100,adam,0.8200995807127882
63,relu,0.001,"(100,)",invscaling,0.001,100,adam,0.8200995807127882
64,tanh,1.0,"(100,)",adaptive,0.001,1000,lbfgs,0.8200995807127882
65,tanh,1.0,"(100,)",adaptive,10.0,1000,lbfgs,0.8200995807127882
66,tanh,1.0,"(100,)",invscaling,10.0,1000,lbfgs,0.8200995807127882
67,tanh,1.0,"(100,)",adaptive,0.01,1000,lbfgs,0.8200995807127882
68,tanh,1.0,"(100,)",invscaling,1.0,1000,lbfgs,0.8200995807127882
69,tanh,1.0,"(100,)",constant,10.0,1000,lbfgs,0.8200995807127882
70,tanh,1.0,"(100,)",constant,0.001,1000,lbfgs,0.8200995807127882
71,tanh,1.0,"(100,)",adaptive,1.0,1000,lbfgs,0.8200995807127882
72,tanh,1.0,"(100,)",invscaling,0.1,1000,lbfgs,0.8200995807127882
73,tanh,1.0,"(100,)",invscaling,0.001,1000,lbfgs,0.8200995807127882
74,relu,1e-05,"(100,)",invscaling,0.001,100,adam,0.8200995807127882
75,tanh,1.0,"(100,)",adaptive,0.1,1000,lbfgs,0.8200995807127882
76,relu,0.001,"(100,)",constant,0.001,100,adam,0.8200995807127882
77,tanh,1.0,"(100,)",invscaling,0.01,1000,lbfgs,0.8200995807127882
78,relu,0.01,"(100,)",constant,0.001,100,adam,0.8200995807127882
79,tanh,1.0,"(100,)",constant,0.01,1000,lbfgs,0.8200995807127882
80,relu,0.0001,"(100,)",constant,0.001,100,adam,0.8200995807127882
81,relu,0.1,"(100,)",adaptive,0.0001,1000,adam,0.8200559049615654
82,relu,0.1,"(100,)",invscaling,0.0001,1000,adam,0.8200559049615654
83,relu,0.1,"(100,)",constant,0.0001,1000,adam,0.8200559049615654
84,relu,10.0,"(100,)",invscaling,0.1,1000,sgd,0.8200122292103424
85,relu,10.0,"(20,)",invscaling,0.1,100,lbfgs,0.8199685534591195
86,relu,10.0,"(20,)",invscaling,0.01,100,lbfgs,0.8199685534591195
87,relu,10.0,"(20,)",invscaling,0.001,100,lbfgs,0.8199685534591195
88,relu,10.0,"(20,)",adaptive,0.1,100,lbfgs,0.8199685534591195
89,relu,10.0,"(20,)",adaptive,0.001,100,lbfgs,0.8199685534591195
90,relu,10.0,"(20,)",constant,0.001,100,lbfgs,0.8199685534591195
91,relu,10.0,"(20,)",adaptive,10.0,100,lbfgs,0.8199685534591195
92,relu,10.0,"(20,)",invscaling,0.0001,100,lbfgs,0.8199685534591195
93,relu,10.0,"(20,)",constant,0.0001,100,lbfgs,0.8199685534591195
94,relu,10.0,"(20,)",adaptive,0.0001,100,lbfgs,0.8199685534591195
95,tanh,1.0,"(10, 30, 10)",invscaling,0.001,100,adam,0.8199685534591195
96,tanh,1.0,"(10, 30, 10)",adaptive,0.001,100,adam,0.8199685534591195
97,relu,10.0,"(20,)",adaptive,1.0,100,lbfgs,0.8199685534591195
98,relu,10.0,"(20,)",adaptive,0.01,100,lbfgs,0.8199685534591195
99,tanh,1.0,"(10, 30, 10)",constant,0.001,100,adam,0.8199685534591195
100,relu,10.0,"(20,)",invscaling,1.0,100,lbfgs,0.8199685534591195
101,relu,10.0,"(20,)",constant,10.0,100,lbfgs,0.8199685534591195
102,relu,10.0,"(20,)",constant,0.01,100,lbfgs,0.8199685534591195
103,relu,10.0,"(20,)",constant,1.0,100,lbfgs,0.8199685534591195
104,relu,10.0,"(20,)",constant,0.1,100,lbfgs,0.8199685534591195
105,relu,10.0,"(20,)",invscaling,10.0,100,lbfgs,0.8199685534591195
106,relu,10.0,"(100,)",invscaling,0.1,100,lbfgs,0.8199248777078966
107,relu,10.0,"(100,)",invscaling,1.0,100,lbfgs,0.8199248777078966
108,relu,10.0,"(100,)",constant,0.0001,100,lbfgs,0.8199248777078966
109,relu,10.0,"(100,)",constant,0.0001,1000,lbfgs,0.8199248777078966
110,relu,10.0,"(100,)",invscaling,0.01,1000,lbfgs,0.8199248777078966
111,relu,10.0,"(100,)",constant,0.001,1000,lbfgs,0.8199248777078966
112,relu,10.0,"(100,)",invscaling,1.0,1000,lbfgs,0.8199248777078966
113,relu,10.0,"(100,)",adaptive,0.001,100,lbfgs,0.8199248777078966
114,relu,10.0,"(100,)",invscaling,10.0,100,lbfgs,0.8199248777078966
115,relu,10.0,"(100,)",constant,0.001,100,lbfgs,0.8199248777078966
116,relu,10.0,"(100,)",invscaling,0.01,100,lbfgs,0.8199248777078966
117,relu,10.0,"(100,)",invscaling,10.0,1000,lbfgs,0.8199248777078966
118,relu,10.0,"(100,)",adaptive,0.0001,100,lbfgs,0.8199248777078966
119,relu,10.0,"(100,)",adaptive,0.0001,1000,lbfgs,0.8199248777078966
120,relu,10.0,"(100,)",invscaling,0.001,1000,lbfgs,0.8199248777078966
121,relu,10.0,"(100,)",invscaling,0.1,1000,lbfgs,0.8199248777078966
122,relu,10.0,"(100,)",adaptive,10.0,100,lbfgs,0.8199248777078966
123,relu,10.0,"(100,)",constant,0.01,1000,lbfgs,0.8199248777078966
124,relu,10.0,"(100,)",adaptive,0.1,1000,lbfgs,0.8199248777078966
125,relu,10.0,"(100,)",constant,1.0,1000,lbfgs,0.8199248777078966
