,criterion,max_depth,max_features,min_impurity_decrease,n_estimators,Accuracy
0,gini,,10,0.0,100,0.84569357092942
1,entropy,,,0.0,100,0.8432914046121593
2,entropy,,sqrt,0.0,100,0.8411512928022362
3,entropy,,10,0.0,1000,0.8410639412997905
4,gini,,10,0.0,1000,0.8410202655485675
5,entropy,,,0.0,1000,0.8409765897973445
6,entropy,10.0,,0.0,1000,0.8409765897973445
7,entropy,10.0,,0.0,100,0.8409329140461217
8,gini,,sqrt,0.0,100,0.8387491264849756
9,entropy,,10,0.0,100,0.8387491264849756
10,gini,10.0,,0.0,1000,0.8386617749825297
11,gini,10.0,10,0.0,1000,0.8386180992313068
12,gini,,log2,0.0,1000,0.8364343116701608
13,entropy,,sqrt,0.0,1000,0.8363906359189378
14,gini,,sqrt,0.0,1000,0.8363906359189378
15,entropy,10.0,10,0.0,1000,0.8363469601677149
16,gini,10.0,10,0.0,100,0.8363032844164919
17,gini,10.0,,0.0,100,0.8363032844164919
18,gini,10.0,sqrt,0.0,100,0.8317173305380853
19,entropy,10.0,10,0.0,100,0.8316736547868624
20,gini,,log2,0.0,100,0.8294461914744934
21,entropy,,log2,0.0,1000,0.8294461914744934
22,gini,10.0,sqrt,0.0,1000,0.8293588399720475
23,entropy,10.0,sqrt,0.0,100,0.8270877009084556
24,entropy,,log2,0.0,100,0.8270877009084556
25,entropy,10.0,sqrt,0.0,1000,0.8270440251572327
26,entropy,10.0,,0.0,10,0.8269566736547869
27,gini,,,0.0,100,0.826912997903564
28,gini,,,0.0,1000,0.8269129979035639
29,entropy,10.0,log2,0.0,1000,0.8247728860936407
30,gini,5.0,10,0.0,1000,0.8246418588399721
31,entropy,10.0,10,0.0,10,0.8224143955276031
32,gini,10.0,log2,0.0,1000,0.8224143955276031
33,entropy,10.0,log2,0.0,100,0.8224143955276031
34,entropy,5.0,10,0.0,1000,0.8222833682739343
35,gini,10.0,,0.0,10,0.8221523410202656
36,gini,5.0,,0.0,1000,0.8199685534591195
37,gini,10.0,sqrt,0.0,10,0.8199248777078967
38,gini,5.0,,0.0,100,0.8199248777078965
39,gini,5.0,,0.0,10,0.8198812019566737
40,gini,10.0,10,0.0,10,0.8198375262054507
41,entropy,4.0,10,0.0,1000,0.8176537386443047
42,entropy,3.0,,0.0,10,0.8176100628930817
43,gini,3.0,,0.0,10,0.8176100628930817
44,gini,,,0.0,10,0.81743535988819
45,entropy,5.0,10,0.0,100,0.8153825995807128
46,gini,4.0,,0.0,10,0.8152952480782669
47,entropy,3.0,,0.0,1000,0.8152952480782669
48,entropy,3.0,,0.0,100,0.8152952480782669
49,entropy,4.0,,0.0,10,0.8152515723270439
50,entropy,5.0,,0.0,10,0.8152078965758212
51,gini,10.0,log2,0.0,100,0.8131114605171209
52,gini,4.0,10,0.0,1000,0.813024109014675
53,gini,5.0,10,0.0,100,0.812980433263452
54,entropy,4.0,,0.0,100,0.8129367575122293
55,gini,4.0,,0.0,100,0.8129367575122293
56,gini,4.0,,0.0,1000,0.8129367575122293
57,entropy,5.0,,0.0,100,0.8129367575122293
58,entropy,5.0,,0.0,1000,0.8129367575122293
59,entropy,4.0,,0.0,1000,0.8129367575122293
60,gini,3.0,,0.0,1000,0.8129367575122293
61,gini,3.0,,0.0,1,0.8128930817610063
62,entropy,10.0,sqrt,0.0,10,0.8107529699510831
63,gini,3.0,,0.0,100,0.8106219426974144
64,entropy,,10,0.0,10,0.8106219426974144
65,entropy,,,0.0,10,0.8104035639412999
66,entropy,5.0,sqrt,0.0,1000,0.8083508036338225
67,gini,5.0,sqrt,0.0,1000,0.8083508036338225
68,entropy,3.0,,0.0,1,0.8082634521313767
69,gini,,10,0.0,10,0.8082197763801537
70,entropy,4.0,10,0.0,100,0.8059923130677848
71,gini,4.0,10,0.0,100,0.8059923130677847
72,gini,,sqrt,0.0,10,0.8058612858141161
73,entropy,10.0,log2,0.0,10,0.8037648497554157
74,entropy,5.0,sqrt,0.0,100,0.803721174004193
75,gini,5.0,sqrt,0.0,100,0.80367749825297
76,gini,4.0,10,0.0,10,0.7990041928721174
77,entropy,,sqrt,0.0,10,0.7989605171208944
78,gini,5.0,sqrt,0.0,10,0.7968204053109713
79,entropy,,1,0.0,100,0.7943308874912649
80,gini,10.0,,0.0,1,0.7942435359888191
81,gini,4.0,,0.0,1,0.794243535988819
82,gini,,log2,0.0,10,0.7941125087351503
83,gini,10.0,log2,0.0,10,0.792059748427673
84,entropy,4.0,,0.0,1,0.7919287211740043
85,entropy,4.0,sqrt,0.0,1000,0.7897012578616351
86,gini,,1,0.0,1000,0.7896575821104124
87,gini,5.0,10,0.0,10,0.7896575821104123
88,gini,,1,0.0,100,0.7896139063591894
89,entropy,,log2,0.0,10,0.7895702306079665
90,entropy,5.0,,0.0,1,0.7873427672955975
91,entropy,5.0,sqrt,0.0,10,0.7872990915443745
92,entropy,5.0,10,0.0,10,0.7850716282320056
93,entropy,3.0,10,0.0,1000,0.7850279524807826
94,gini,4.0,sqrt,0.0,1000,0.7849842767295598
95,entropy,4.0,10,0.0,10,0.7849842767295598
96,entropy,3.0,10,0.0,10,0.7849406009783368
97,gini,5.0,,0.0,1,0.7848969252271139
98,entropy,5.0,log2,0.0,1000,0.7827568134171907
99,entropy,,1,0.0,1000,0.782669461914745
100,entropy,4.0,sqrt,0.0,10,0.7779961565338924
101,gini,3.0,10,0.0,10,0.7779088050314465
102,gini,4.0,sqrt,0.0,100,0.7758123689727463
103,entropy,4.0,sqrt,0.0,100,0.7757686932215234
104,entropy,3.0,10,0.0,100,0.7755939902166317
105,gini,4.0,sqrt,0.0,10,0.770964360587002
106,gini,3.0,10,0.0,1000,0.7663784067085954
107,entropy,,1,0.0,10,0.7642382948986722
108,gini,5.0,log2,0.0,1000,0.7640199161425577
109,gini,3.0,sqrt,0.0,100,0.7617924528301887
110,gini,3.0,10,0.0,100,0.7617051013277428
111,gini,5.0,log2,0.0,100,0.7594776380153738
112,entropy,10.0,1,0.0,100,0.7593029350104822
113,entropy,5.0,log2,0.0,100,0.7570754716981132
114,gini,4.0,log2,0.0,1000,0.7547606568832983
115,entropy,3.0,sqrt,0.0,10,0.7547169811320755
116,gini,4.0,log2,0.0,100,0.7524458420684836
117,entropy,3.0,sqrt,0.0,100,0.7501310272536688
118,entropy,3.0,sqrt,0.0,1000,0.7500873515024458
119,entropy,4.0,log2,0.0,100,0.7500436757512229
120,gini,10.0,1,0.0,100,0.75
121,entropy,4.0,log2,0.0,1000,0.7477725366876311
122,gini,3.0,sqrt,0.0,1000,0.7477288609364081
123,entropy,10.0,,0.0,1,0.7452393431167017
124,gini,3.0,log2,0.0,1000,0.7430118798043326
125,gini,10.0,10,0.0,1,0.7427061495457722
126,gini,,,0.0,1,0.7427061495457722
127,entropy,5.0,log2,0.0,10,0.7407407407407407
128,gini,3.0,log2,0.0,100,0.7407407407407407
129,gini,3.0,sqrt,0.0,10,0.740609713487072
130,entropy,3.0,log2,0.0,1000,0.7360237596086653
131,entropy,3.0,log2,0.0,100,0.7360237596086652
132,entropy,10.0,1,0.0,10,0.7357617051013277
133,entropy,,,0.0,1,0.7334905660377359
134,gini,10.0,1,0.0,1000,0.7313067784765898
135,gini,5.0,log2,0.0,10,0.7312631027253669
136,gini,4.0,log2,0.0,10,0.7291229909154437
137,entropy,10.0,1,0.0,1000,0.728948287910552
138,gini,,1,0.0,10,0.7244060097833683
139,entropy,4.0,log2,0.0,10,0.7244060097833682
140,gini,,10,0.0,1,0.7242313067784767
141,gini,10.0,1,0.0,10,0.7103424178895876
142,gini,3.0,log2,0.0,10,0.7056254367575122
143,entropy,3.0,log2,0.0,10,0.7009084556254368
144,entropy,,log2,0.0,1,0.6982879105520615
145,gini,5.0,10,0.0,1,0.69632250174703
146,gini,,sqrt,0.0,1,0.6958420684835779
147,gini,,log2,0.0,1,0.6938329839273235
148,gini,10.0,sqrt,0.0,1,0.690863032844165
149,gini,10.0,log2,0.0,1,0.6895527603074774
150,gini,5.0,log2,0.0,1,0.6894217330538086
151,entropy,5.0,10,0.0,1,0.6843116701607268
152,entropy,10.0,10,0.0,1,0.6824336128581412
153,gini,5.0,1,0.0,100,0.6775856044723969
154,gini,3.0,log2,0.0,1,0.6773672257162824
155,entropy,4.0,sqrt,0.0,1,0.6771925227113906
156,gini,3.0,sqrt,0.0,1,0.675270789657582
157,entropy,5.0,1,0.0,10,0.6730433263452131
158,gini,5.0,sqrt,0.0,1,0.6706848357791755
159,entropy,5.0,1,0.0,100,0.6705974842767296
160,gini,4.0,10,0.0,1,0.6702480782669462
161,gini,5.0,1,0.0,10,0.6683700209643606
162,entropy,10.0,log2,0.0,1,0.6635656883298392
163,entropy,10.0,sqrt,0.0,1,0.6613819007686932
164,gini,4.0,sqrt,0.0,1,0.6589360587002095
165,entropy,,10,0.0,1,0.6540880503144655
166,gini,4.0,log2,0.0,1,0.6540880503144654
167,entropy,5.0,log2,0.0,1,0.6521226415094339
168,entropy,5.0,1,0.0,1000,0.6519042627533194
169,gini,5.0,1,0.0,1000,0.6518605870020964
170,entropy,4.0,log2,0.0,1,0.6426450034940601
171,entropy,3.0,log2,0.0,1,0.6401118099231307
172,entropy,4.0,1,0.0,100,0.6378406708595388
173,gini,4.0,1,0.0,100,0.6378406708595388
174,gini,3.0,10,0.0,1,0.6377969951083159
175,entropy,4.0,10,0.0,1,0.6355695317959469
176,gini,,1,0.0,1,0.6287124388539482
177,gini,4.0,1,0.0,1000,0.6238644304682041
178,entropy,,1,0.0,1,0.6220737246680642
179,entropy,4.0,1,0.0,1000,0.6215059399021663
180,gini,10.0,1,0.0,1,0.6193658280922432
181,entropy,3.0,10,0.0,1,0.6191037735849056
182,entropy,4.0,1,0.0,10,0.6145614954577219
183,entropy,,sqrt,0.0,1,0.614474143955276
184,gini,4.0,1,0.0,10,0.6121593291404612
185,gini,3.0,1,0.0,100,0.6051275331935709
186,entropy,5.0,sqrt,0.0,1,0.6050401816911251
187,entropy,3.0,1,0.0,100,0.6028127183787562
188,entropy,3.0,1,0.0,10,0.5982704402515723
189,gini,3.0,1,0.0,10,0.5982267645003494
190,entropy,3.0,1,0.0,1000,0.5980957372466806
191,gini,3.0,1,0.0,1000,0.5980957372466806
192,entropy,10.0,1,0.0,1,0.5933787561146051
193,entropy,4.0,,3.0,1000,0.5841194968553458
194,entropy,4.0,,3.0,100,0.5841194968553458
195,entropy,,,5.0,1000,0.5841194968553458
196,entropy,4.0,,4.0,1,0.5841194968553458
197,entropy,,,5.0,100,0.5841194968553458
198,entropy,4.0,,5.0,100,0.5841194968553458
199,entropy,4.0,,4.0,10,0.5841194968553458
200,entropy,4.0,,4.0,100,0.5841194968553458
201,entropy,,1,1.0,1,0.5841194968553458
202,entropy,4.0,,4.0,1000,0.5841194968553458
203,entropy,4.0,,5.0,1,0.5841194968553458
204,entropy,4.0,,5.0,1000,0.5841194968553458
205,entropy,4.0,,3.0,10,0.5841194968553458
206,entropy,4.0,,5.0,10,0.5841194968553458
207,entropy,10.0,10,3.0,1,0.5841194968553458
208,entropy,4.0,,3.0,1,0.5841194968553458
209,entropy,4.0,,2.0,1000,0.5841194968553458
210,entropy,4.0,log2,3.0,100,0.5841194968553458
211,entropy,4.0,log2,3.0,1000,0.5841194968553458
