,C,coef0,decision_function_shape,gamma,kernel,Accuracy
283,3.0,1.0,ovr,0.1,linear,0.8107092941998602
284,3.0,0.0,ovo,0.5,linear,0.8107092941998602
285,3.0,0.0,ovo,3.0,linear,0.8107092941998602
286,3.0,0.0,ovo,0.001,linear,0.8107092941998602
287,3.0,1.0,ovr,3.0,linear,0.8107092941998602
288,3.0,3.0,ovo,0.01,linear,0.8107092941998602
289,3.0,1.0,ovr,1.0,linear,0.8107092941998602
290,3.0,0.0,ovo,1.0,linear,0.8107092941998602
291,3.0,2.0,ovr,1.0,linear,0.8107092941998602
292,3.0,0.0,ovr,0.1,linear,0.8107092941998602
293,3.0,3.0,ovr,0.01,linear,0.8107092941998602
294,3.0,0.0,ovr,0.01,linear,0.8107092941998602
295,3.0,3.0,ovo,0.5,linear,0.8107092941998602
296,3.0,0.0,ovr,0.001,linear,0.8107092941998602
297,3.0,1.0,ovr,0.01,linear,0.8107092941998602
298,3.0,3.0,ovo,1.0,linear,0.8107092941998602
299,3.0,3.0,ovo,3.0,linear,0.8107092941998602
300,3.0,3.0,ovo,0.1,linear,0.8107092941998602
301,3.0,2.0,ovo,0.01,linear,0.8107092941998602
302,3.0,3.0,ovr,0.1,linear,0.8107092941998602
303,3.0,2.0,ovr,0.001,linear,0.8107092941998602
304,3.0,0.0,ovo,0.01,linear,0.8107092941998602
305,3.0,3.0,ovr,3.0,linear,0.8107092941998602
306,3.0,2.0,ovo,0.5,linear,0.8107092941998602
307,3.0,1.0,ovo,0.5,linear,0.8107092941998602
308,3.0,1.0,ovo,0.1,linear,0.8107092941998602
309,3.0,2.0,ovo,1.0,linear,0.8107092941998602
310,3.0,2.0,ovo,3.0,linear,0.8107092941998602
311,3.0,0.0,ovr,3.0,linear,0.8107092941998602
312,3.0,3.0,ovr,1.0,linear,0.8107092941998602
313,3.0,3.0,ovr,0.5,linear,0.8107092941998602
314,3.0,3.0,ovr,0.001,linear,0.8107092941998602
315,3.0,1.0,ovo,0.01,linear,0.8107092941998602
316,3.0,1.0,ovo,1.0,linear,0.8107092941998602
317,3.0,0.0,ovo,0.1,linear,0.8107092941998602
318,3.0,1.0,ovo,3.0,linear,0.8107092941998602
319,3.0,2.0,ovr,0.5,linear,0.8107092941998602
320,3.0,2.0,ovr,0.1,linear,0.8107092941998602
321,3.0,2.0,ovr,3.0,linear,0.8107092941998602
322,3.0,2.0,ovr,0.01,linear,0.8107092941998602
323,3.0,1.0,ovo,0.001,linear,0.8107092941998602
324,1.0,3.0,ovo,0.01,poly,0.8106656184486373
325,1.0,3.0,ovr,0.01,poly,0.8106656184486373
326,6.0,0.0,ovr,0.01,rbf,0.8106219426974144
327,6.0,3.0,ovr,0.01,rbf,0.8106219426974144
328,6.0,2.0,ovr,0.01,rbf,0.8106219426974144
329,6.0,1.0,ovr,0.01,rbf,0.8106219426974144
330,6.0,3.0,ovo,0.01,rbf,0.8106219426974144
331,6.0,1.0,ovo,0.01,rbf,0.8106219426974144
332,6.0,2.0,ovo,0.01,rbf,0.8106219426974144
333,6.0,0.0,ovo,0.01,rbf,0.8106219426974144
334,4.0,3.0,ovr,0.001,poly,0.8105345911949685
335,4.0,3.0,ovo,0.001,poly,0.8105345911949685
336,7.0,1.0,ovr,0.01,sigmoid,0.8104909154437456
337,7.0,1.0,ovo,0.01,sigmoid,0.8104909154437456
338,4.0,1.0,ovo,0.01,poly,0.8083508036338225
339,4.0,1.0,ovr,0.01,poly,0.8083508036338225
340,3.0,1.0,ovo,0.01,poly,0.8083071278825995
341,3.0,1.0,ovr,0.01,poly,0.8083071278825995
342,3.0,2.0,ovo,0.01,poly,0.8060359888190076
343,2.0,2.0,ovo,0.01,poly,0.8060359888190076
344,2.0,2.0,ovr,0.01,poly,0.8060359888190076
345,6.0,2.0,ovo,0.01,poly,0.8060359888190076
346,6.0,2.0,ovr,0.01,poly,0.8060359888190076
347,3.0,2.0,ovr,0.01,poly,0.8060359888190076
348,7.0,0.0,ovr,0.01,rbf,0.8059923130677848
349,7.0,1.0,ovo,0.01,rbf,0.8059923130677848
350,7.0,0.0,ovo,0.01,rbf,0.8059923130677848
351,7.0,1.0,ovr,0.01,rbf,0.8059923130677848
352,4.0,3.0,ovr,0.01,poly,0.8059923130677848
353,7.0,2.0,ovo,0.01,rbf,0.8059923130677848
354,4.0,3.0,ovo,0.01,poly,0.8059923130677848
355,7.0,2.0,ovr,0.01,rbf,0.8059923130677848
356,7.0,3.0,ovo,0.01,rbf,0.8059923130677848
357,7.0,3.0,ovr,0.01,rbf,0.8059923130677848
358,2.0,3.0,ovr,0.01,poly,0.803721174004193
359,2.0,3.0,ovo,0.01,poly,0.803721174004193
360,7.0,2.0,ovr,0.01,poly,0.8037211740041929
361,7.0,2.0,ovo,0.01,poly,0.8037211740041929
362,5.0,3.0,ovo,0.01,poly,0.8037211740041927
363,5.0,3.0,ovr,0.01,poly,0.8037211740041927
364,8.0,2.0,ovo,0.01,rbf,0.80367749825297
365,8.0,0.0,ovr,0.01,rbf,0.80367749825297
366,5.0,1.0,ovr,0.01,poly,0.80367749825297
367,8.0,3.0,ovr,0.01,rbf,0.80367749825297
368,8.0,1.0,ovo,0.01,rbf,0.80367749825297
369,6.0,1.0,ovr,0.01,poly,0.80367749825297
370,8.0,1.0,ovr,0.01,rbf,0.80367749825297
371,8.0,0.0,ovo,0.01,rbf,0.80367749825297
372,8.0,2.0,ovr,0.01,rbf,0.80367749825297
373,6.0,1.0,ovo,0.01,poly,0.80367749825297
374,5.0,1.0,ovo,0.01,poly,0.80367749825297
375,8.0,3.0,ovo,0.01,rbf,0.80367749825297
376,7.0,1.0,ovr,0.01,poly,0.801450034940601
377,7.0,1.0,ovo,0.01,poly,0.801450034940601
378,6.0,3.0,ovr,0.01,poly,0.8013626834381551
379,6.0,3.0,ovo,0.01,poly,0.8013626834381551
380,6.0,0.0,ovo,0.001,linear,0.7990915443745632
381,6.0,2.0,ovo,0.5,linear,0.7990915443745632
382,6.0,0.0,ovo,0.01,linear,0.7990915443745632
383,6.0,1.0,ovr,0.1,linear,0.7990915443745632
384,6.0,1.0,ovr,1.0,linear,0.7990915443745632
385,6.0,1.0,ovr,3.0,linear,0.7990915443745632
386,6.0,2.0,ovo,0.001,linear,0.7990915443745632
387,6.0,2.0,ovo,0.01,linear,0.7990915443745632
388,6.0,2.0,ovo,0.1,linear,0.7990915443745632
389,6.0,2.0,ovo,3.0,linear,0.7990915443745632
390,6.0,2.0,ovr,0.001,linear,0.7990915443745632
391,6.0,2.0,ovr,0.01,linear,0.7990915443745632
392,6.0,2.0,ovr,0.1,linear,0.7990915443745632
393,6.0,2.0,ovr,0.5,linear,0.7990915443745632
394,6.0,2.0,ovr,1.0,linear,0.7990915443745632
395,6.0,2.0,ovr,3.0,linear,0.7990915443745632
396,6.0,3.0,ovo,0.001,linear,0.7990915443745632
397,6.0,0.0,ovo,0.1,linear,0.7990915443745632
398,6.0,3.0,ovo,0.01,linear,0.7990915443745632
399,6.0,3.0,ovo,0.1,linear,0.7990915443745632
400,6.0,3.0,ovo,0.5,linear,0.7990915443745632
401,6.0,3.0,ovo,1.0,linear,0.7990915443745632
402,6.0,3.0,ovo,3.0,linear,0.7990915443745632
403,6.0,3.0,ovr,0.001,linear,0.7990915443745632
404,6.0,3.0,ovr,0.01,linear,0.7990915443745632
405,6.0,3.0,ovr,0.1,linear,0.7990915443745632
406,6.0,3.0,ovr,0.5,linear,0.7990915443745632
407,6.0,3.0,ovr,1.0,linear,0.7990915443745632
408,6.0,3.0,ovr,3.0,linear,0.7990915443745632
409,6.0,1.0,ovr,0.5,linear,0.7990915443745632
410,6.0,2.0,ovo,1.0,linear,0.7990915443745632
411,6.0,1.0,ovr,0.01,linear,0.7990915443745632
412,6.0,1.0,ovo,0.5,linear,0.7990915443745632
413,6.0,0.0,ovo,0.5,linear,0.7990915443745632
414,6.0,0.0,ovo,1.0,linear,0.7990915443745632
415,6.0,0.0,ovo,3.0,linear,0.7990915443745632
416,6.0,0.0,ovr,0.001,linear,0.7990915443745632
417,6.0,0.0,ovr,0.01,linear,0.7990915443745632
418,6.0,1.0,ovr,0.001,linear,0.7990915443745632
419,6.0,0.0,ovr,0.5,linear,0.7990915443745632
420,6.0,0.0,ovr,1.0,linear,0.7990915443745632
421,6.0,0.0,ovr,3.0,linear,0.7990915443745632
422,6.0,1.0,ovo,0.001,linear,0.7990915443745632
423,6.0,1.0,ovo,0.01,linear,0.7990915443745632
424,6.0,1.0,ovo,0.1,linear,0.7990915443745632
425,6.0,0.0,ovr,0.1,linear,0.7990915443745632
426,6.0,1.0,ovo,3.0,linear,0.7990915443745632
427,6.0,1.0,ovo,1.0,linear,0.7990915443745632
428,8.0,2.0,ovo,0.01,poly,0.7990478686233402
429,8.0,2.0,ovr,0.01,poly,0.7990478686233402
430,7.0,1.0,ovr,0.5,linear,0.7967767295597484
431,7.0,2.0,ovo,0.1,linear,0.7967767295597484
432,7.0,3.0,ovo,0.1,linear,0.7967767295597484
433,7.0,2.0,ovo,0.01,linear,0.7967767295597484
434,7.0,2.0,ovo,0.001,linear,0.7967767295597484
435,7.0,1.0,ovr,3.0,linear,0.7967767295597484
436,7.0,1.0,ovr,1.0,linear,0.7967767295597484
437,7.0,3.0,ovr,0.001,linear,0.7967767295597484
438,7.0,3.0,ovo,0.5,linear,0.7967767295597484
439,7.0,1.0,ovr,0.01,linear,0.7967767295597484
440,7.0,1.0,ovr,0.001,linear,0.7967767295597484
441,7.0,1.0,ovo,3.0,linear,0.7967767295597484
442,7.0,1.0,ovo,1.0,linear,0.7967767295597484
443,7.0,1.0,ovo,0.5,linear,0.7967767295597484
444,7.0,1.0,ovo,0.1,linear,0.7967767295597484
445,7.0,1.0,ovo,0.01,linear,0.7967767295597484
446,7.0,1.0,ovr,0.1,linear,0.7967767295597484
447,7.0,3.0,ovo,1.0,linear,0.7967767295597484
448,7.0,3.0,ovr,3.0,linear,0.7967767295597484
449,7.0,3.0,ovo,0.001,linear,0.7967767295597484
450,7.0,2.0,ovr,0.1,linear,0.7967767295597484
451,7.0,2.0,ovr,0.01,linear,0.7967767295597484
452,7.0,0.0,ovr,3.0,linear,0.7967767295597484
453,7.0,2.0,ovr,0.5,linear,0.7967767295597484
454,7.0,3.0,ovr,0.01,linear,0.7967767295597484
455,7.0,2.0,ovr,1.0,linear,0.7967767295597484
456,7.0,2.0,ovr,3.0,linear,0.7967767295597484
457,7.0,3.0,ovr,0.1,linear,0.7967767295597484
