,C,coef0,decision_function_shape,gamma,kernel,Accuracy
0,2.0,2.0,ovr,0.01,rbf,0.8246418588399721
1,3.0,2.0,ovr,0.01,rbf,0.8246418588399721
2,1.0,3.0,ovr,0.01,rbf,0.8246418588399721
3,3.0,1.0,ovo,0.01,rbf,0.8246418588399721
4,1.0,2.0,ovo,0.01,rbf,0.8246418588399721
5,3.0,0.0,ovr,0.01,rbf,0.8246418588399721
6,1.0,3.0,ovo,0.01,rbf,0.8246418588399721
7,2.0,2.0,ovo,0.01,rbf,0.8246418588399721
8,2.0,3.0,ovo,0.01,rbf,0.8246418588399721
9,1.0,1.0,ovr,0.01,rbf,0.8246418588399721
10,3.0,0.0,ovo,0.01,rbf,0.8246418588399721
11,3.0,3.0,ovr,0.01,rbf,0.8246418588399721
12,2.0,3.0,ovr,0.01,rbf,0.8246418588399721
13,1.0,1.0,ovo,0.01,rbf,0.8246418588399721
14,3.0,3.0,ovo,0.01,rbf,0.8246418588399721
15,1.0,2.0,ovr,0.01,rbf,0.8246418588399721
16,2.0,1.0,ovr,0.01,rbf,0.8246418588399721
17,1.0,0.0,ovr,0.01,rbf,0.8246418588399721
18,2.0,1.0,ovo,0.01,rbf,0.8246418588399721
19,2.0,0.0,ovr,0.01,rbf,0.8246418588399721
20,2.0,0.0,ovo,0.01,rbf,0.8246418588399721
21,1.0,0.0,ovo,0.01,rbf,0.8246418588399721
22,3.0,2.0,ovo,0.01,rbf,0.8246418588399721
23,3.0,1.0,ovr,0.01,rbf,0.8246418588399721
24,1.0,0.0,ovr,0.01,sigmoid,0.8245981830887491
25,1.0,0.0,ovo,0.01,sigmoid,0.8245981830887491
26,1.0,1.0,ovo,0.01,poly,0.8222833682739343
27,5.0,0.0,ovo,0.001,rbf,0.8222833682739343
28,4.0,1.0,ovo,0.001,rbf,0.8222833682739343
29,4.0,3.0,ovo,0.001,rbf,0.8222833682739343
30,3.0,1.0,ovr,0.001,poly,0.8222833682739343
31,7.0,0.0,ovr,0.001,sigmoid,0.8222833682739343
32,4.0,2.0,ovr,0.001,rbf,0.8222833682739343
33,8.0,0.0,ovr,0.001,sigmoid,0.8222833682739343
34,5.0,2.0,ovr,0.001,rbf,0.8222833682739343
35,8.0,0.0,ovo,0.001,sigmoid,0.8222833682739343
36,5.0,0.0,ovr,0.001,rbf,0.8222833682739343
37,4.0,0.0,ovo,0.001,rbf,0.8222833682739343
38,5.0,1.0,ovr,0.001,rbf,0.8222833682739343
39,4.0,0.0,ovr,0.001,rbf,0.8222833682739343
40,4.0,3.0,ovr,0.001,rbf,0.8222833682739343
41,7.0,0.0,ovo,0.001,sigmoid,0.8222833682739343
42,1.0,1.0,ovr,0.01,poly,0.8222833682739343
43,4.0,2.0,ovo,0.001,rbf,0.8222833682739343
44,3.0,1.0,ovo,0.001,poly,0.8222833682739343
45,5.0,3.0,ovr,0.001,rbf,0.8222833682739343
46,5.0,3.0,ovo,0.001,rbf,0.8222833682739343
47,5.0,2.0,ovo,0.001,rbf,0.8222833682739343
48,4.0,1.0,ovr,0.001,rbf,0.8222833682739343
49,5.0,1.0,ovo,0.001,rbf,0.8222833682739343
50,1.0,1.0,ovr,1.0,linear,0.8199685534591195
51,1.0,2.0,ovo,3.0,linear,0.8199685534591195
52,1.0,1.0,ovr,3.0,linear,0.8199685534591195
53,6.0,1.0,ovr,0.001,rbf,0.8199685534591195
54,1.0,2.0,ovo,0.001,linear,0.8199685534591195
55,1.0,2.0,ovo,1.0,linear,0.8199685534591195
56,1.0,2.0,ovo,0.5,linear,0.8199685534591195
57,1.0,2.0,ovo,0.01,linear,0.8199685534591195
58,1.0,2.0,ovo,0.1,linear,0.8199685534591195
59,6.0,2.0,ovo,0.001,rbf,0.8199685534591195
60,1.0,3.0,ovo,0.001,linear,0.8199685534591195
61,1.0,2.0,ovr,0.001,linear,0.8199685534591195
62,1.0,3.0,ovo,3.0,linear,0.8199685534591195
63,1.0,3.0,ovr,3.0,linear,0.8199685534591195
64,6.0,3.0,ovr,0.001,rbf,0.8199685534591195
65,1.0,3.0,ovr,1.0,linear,0.8199685534591195
66,1.0,3.0,ovr,0.5,linear,0.8199685534591195
67,1.0,3.0,ovr,0.1,linear,0.8199685534591195
68,1.0,3.0,ovr,0.01,linear,0.8199685534591195
69,1.0,3.0,ovr,0.001,linear,0.8199685534591195
70,6.0,3.0,ovo,0.001,rbf,0.8199685534591195
71,1.0,3.0,ovo,1.0,linear,0.8199685534591195
72,1.0,2.0,ovr,0.01,linear,0.8199685534591195
73,1.0,3.0,ovo,0.5,linear,0.8199685534591195
74,1.0,3.0,ovo,0.1,linear,0.8199685534591195
75,1.0,3.0,ovo,0.01,linear,0.8199685534591195
76,1.0,2.0,ovr,3.0,linear,0.8199685534591195
77,1.0,2.0,ovr,1.0,linear,0.8199685534591195
78,6.0,2.0,ovr,0.001,rbf,0.8199685534591195
79,1.0,2.0,ovr,0.5,linear,0.8199685534591195
80,1.0,2.0,ovr,0.1,linear,0.8199685534591195
81,1.0,1.0,ovr,0.5,linear,0.8199685534591195
82,1.0,0.0,ovo,0.001,linear,0.8199685534591195
83,1.0,0.0,ovo,1.0,linear,0.8199685534591195
84,1.0,1.0,ovo,1.0,linear,0.8199685534591195
85,1.0,1.0,ovo,3.0,linear,0.8199685534591195
86,1.0,1.0,ovo,0.5,linear,0.8199685534591195
87,1.0,1.0,ovo,0.1,linear,0.8199685534591195
88,1.0,1.0,ovo,0.01,linear,0.8199685534591195
89,6.0,1.0,ovo,0.001,rbf,0.8199685534591195
90,1.0,1.0,ovr,0.001,linear,0.8199685534591195
91,1.0,0.0,ovo,0.01,linear,0.8199685534591195
92,6.0,0.0,ovo,0.001,rbf,0.8199685534591195
93,1.0,1.0,ovo,0.001,linear,0.8199685534591195
94,1.0,0.0,ovr,3.0,linear,0.8199685534591195
95,1.0,0.0,ovr,1.0,linear,0.8199685534591195
96,1.0,0.0,ovr,0.5,linear,0.8199685534591195
97,1.0,0.0,ovr,0.1,linear,0.8199685534591195
98,1.0,1.0,ovr,0.01,linear,0.8199685534591195
99,1.0,0.0,ovr,0.01,linear,0.8199685534591195
100,1.0,0.0,ovo,0.5,linear,0.8199685534591195
101,1.0,0.0,ovr,0.001,linear,0.8199685534591195
102,1.0,1.0,ovr,0.1,linear,0.8199685534591195
103,6.0,0.0,ovr,0.001,rbf,0.8199685534591195
104,1.0,0.0,ovo,3.0,linear,0.8199685534591195
105,1.0,0.0,ovo,0.1,linear,0.8199685534591195
106,4.0,0.0,ovo,0.01,sigmoid,0.8199248777078966
107,2.0,1.0,ovo,0.01,sigmoid,0.8199248777078966
108,6.0,0.0,ovr,0.01,sigmoid,0.8199248777078966
109,2.0,1.0,ovr,0.01,sigmoid,0.8199248777078966
110,4.0,0.0,ovr,0.01,sigmoid,0.8199248777078966
111,6.0,0.0,ovo,0.01,sigmoid,0.8199248777078966
112,3.0,1.0,ovr,0.01,sigmoid,0.8198812019566737
113,3.0,1.0,ovo,0.01,sigmoid,0.8198812019566737
114,7.0,0.0,ovo,0.01,sigmoid,0.8198812019566737
115,7.0,0.0,ovr,0.01,sigmoid,0.8198812019566737
116,8.0,3.0,ovr,0.001,rbf,0.8176100628930818
117,2.0,0.0,ovo,0.01,sigmoid,0.8176100628930818
118,4.0,0.0,ovo,0.01,rbf,0.8176100628930818
119,8.0,0.0,ovr,0.001,rbf,0.8176100628930818
120,7.0,0.0,ovr,0.001,rbf,0.8176100628930818
121,5.0,2.0,ovr,0.001,poly,0.8176100628930818
122,4.0,1.0,ovo,0.001,poly,0.8176100628930818
123,2.0,2.0,ovo,0.001,poly,0.8176100628930818
124,7.0,3.0,ovo,0.001,rbf,0.8176100628930818
125,7.0,0.0,ovo,0.001,rbf,0.8176100628930818
126,5.0,2.0,ovo,0.001,poly,0.8176100628930818
127,3.0,2.0,ovr,0.001,poly,0.8176100628930818
128,4.0,2.0,ovo,0.001,poly,0.8176100628930818
129,8.0,1.0,ovo,0.001,poly,0.8176100628930818
130,7.0,2.0,ovo,0.001,rbf,0.8176100628930818
131,2.0,1.0,ovr,0.01,poly,0.8176100628930818
132,8.0,1.0,ovo,0.001,rbf,0.8176100628930818
133,8.0,1.0,ovr,0.001,poly,0.8176100628930818
134,7.0,2.0,ovr,0.001,rbf,0.8176100628930818
135,8.0,3.0,ovo,0.001,rbf,0.8176100628930818
136,1.0,3.0,ovr,0.001,poly,0.8176100628930818
137,4.0,0.0,ovr,0.01,rbf,0.8176100628930818
138,4.0,1.0,ovr,0.01,rbf,0.8176100628930818
139,6.0,1.0,ovr,0.001,poly,0.8176100628930818
140,5.0,1.0,ovo,0.001,poly,0.8176100628930818
141,2.0,3.0,ovo,0.001,poly,0.8176100628930818
142,4.0,3.0,ovo,0.01,rbf,0.8176100628930818
143,4.0,1.0,ovr,0.001,poly,0.8176100628930818
144,7.0,1.0,ovr,0.001,poly,0.8176100628930818
145,7.0,1.0,ovo,0.001,poly,0.8176100628930818
146,1.0,3.0,ovo,0.001,poly,0.8176100628930818
147,2.0,0.0,ovr,0.01,sigmoid,0.8176100628930818
148,7.0,1.0,ovo,0.001,rbf,0.8176100628930818
149,3.0,0.0,ovo,0.01,sigmoid,0.8176100628930818
150,6.0,1.0,ovo,0.001,poly,0.8176100628930818
151,4.0,3.0,ovr,0.01,rbf,0.8176100628930818
152,8.0,2.0,ovo,0.001,rbf,0.8176100628930818
153,1.0,2.0,ovr,0.001,poly,0.8176100628930818
154,2.0,2.0,ovr,0.001,poly,0.8176100628930818
155,2.0,3.0,ovr,0.001,poly,0.8176100628930818
156,3.0,0.0,ovr,0.01,sigmoid,0.8176100628930818
157,4.0,1.0,ovo,0.01,rbf,0.8176100628930818
158,4.0,2.0,ovo,0.01,rbf,0.8176100628930818
159,2.0,1.0,ovo,0.01,poly,0.8176100628930818
160,8.0,0.0,ovo,0.001,rbf,0.8176100628930818
161,7.0,3.0,ovr,0.001,rbf,0.8176100628930818
162,8.0,1.0,ovr,0.001,rbf,0.8176100628930818
163,8.0,2.0,ovr,0.001,rbf,0.8176100628930818
164,1.0,2.0,ovo,0.001,poly,0.8176100628930818
165,3.0,2.0,ovo,0.001,poly,0.8176100628930818
166,4.0,2.0,ovr,0.001,poly,0.8176100628930818
167,7.0,1.0,ovr,0.001,rbf,0.8176100628930818
168,4.0,2.0,ovr,0.01,rbf,0.8176100628930818
169,5.0,1.0,ovr,0.001,poly,0.8176100628930818
170,2.0,1.0,ovr,0.001,poly,0.8175663871418588
171,6.0,1.0,ovo,0.01,sigmoid,0.8175663871418588
172,6.0,0.0,ovr,0.001,sigmoid,0.8175663871418588
173,6.0,1.0,ovr,0.01,sigmoid,0.8175663871418588
174,2.0,1.0,ovo,0.001,poly,0.8175663871418588
175,6.0,0.0,ovo,0.001,sigmoid,0.8175663871418588
176,6.0,3.0,ovr,0.001,poly,0.8175227113906359
177,8.0,3.0,ovo,0.001,poly,0.8175227113906359
178,8.0,0.0,ovo,0.01,sigmoid,0.8175227113906359
179,8.0,0.0,ovr,0.01,sigmoid,0.8175227113906359
180,8.0,3.0,ovr,0.001,poly,0.8175227113906359
181,7.0,3.0,ovr,0.001,poly,0.8175227113906359
182,5.0,0.0,ovr,0.01,sigmoid,0.8175227113906359
183,5.0,0.0,ovo,0.01,sigmoid,0.8175227113906359
184,7.0,3.0,ovo,0.001,poly,0.8175227113906359
185,6.0,3.0,ovo,0.001,poly,0.8175227113906359
186,5.0,1.0,ovo,0.01,sigmoid,0.817479035639413
187,5.0,1.0,ovr,0.01,sigmoid,0.817479035639413
188,4.0,2.0,ovo,0.01,poly,0.8154262753319357
189,4.0,2.0,ovr,0.01,poly,0.8154262753319357
190,5.0,2.0,ovr,0.01,poly,0.8153825995807128
191,5.0,2.0,ovo,0.01,poly,0.8153825995807128
192,2.0,1.0,ovo,0.001,linear,0.8153389238294899
193,2.0,1.0,ovo,0.01,linear,0.8153389238294899
194,2.0,3.0,ovr,0.01,linear,0.8153389238294899
195,2.0,2.0,ovr,0.001,linear,0.8153389238294899
196,2.0,3.0,ovr,0.001,linear,0.8153389238294899
197,2.0,2.0,ovr,0.01,linear,0.8153389238294899
198,2.0,3.0,ovo,3.0,linear,0.8153389238294899
199,2.0,2.0,ovr,0.1,linear,0.8153389238294899
200,2.0,0.0,ovr,3.0,linear,0.8153389238294899
201,2.0,2.0,ovo,1.0,linear,0.8153389238294899
202,2.0,3.0,ovo,1.0,linear,0.8153389238294899
203,2.0,2.0,ovr,0.5,linear,0.8153389238294899
204,2.0,3.0,ovo,0.5,linear,0.8153389238294899
205,2.0,2.0,ovr,1.0,linear,0.8153389238294899
206,2.0,2.0,ovr,3.0,linear,0.8153389238294899
207,2.0,3.0,ovo,0.001,linear,0.8153389238294899
208,2.0,0.0,ovr,1.0,linear,0.8153389238294899
209,2.0,2.0,ovo,3.0,linear,0.8153389238294899
210,2.0,3.0,ovr,1.0,linear,0.8153389238294899
211,2.0,1.0,ovr,0.01,linear,0.8153389238294899
212,2.0,1.0,ovo,0.1,linear,0.8153389238294899
213,2.0,3.0,ovr,0.5,linear,0.8153389238294899
214,2.0,1.0,ovr,0.001,linear,0.8153389238294899
215,2.0,1.0,ovr,0.1,linear,0.8153389238294899
216,2.0,1.0,ovo,3.0,linear,0.8153389238294899
217,2.0,1.0,ovr,0.5,linear,0.8153389238294899
218,2.0,1.0,ovo,1.0,linear,0.8153389238294899
219,2.0,1.0,ovr,1.0,linear,0.8153389238294899
220,2.0,1.0,ovr,3.0,linear,0.8153389238294899
221,2.0,2.0,ovo,0.001,linear,0.8153389238294899
222,2.0,3.0,ovo,0.1,linear,0.8153389238294899
223,2.0,2.0,ovo,0.01,linear,0.8153389238294899
224,2.0,3.0,ovr,0.1,linear,0.8153389238294899
225,2.0,1.0,ovo,0.5,linear,0.8153389238294899
226,2.0,2.0,ovo,0.1,linear,0.8153389238294899
227,2.0,2.0,ovo,0.5,linear,0.8153389238294899
228,2.0,3.0,ovo,0.01,linear,0.8153389238294899
229,2.0,3.0,ovr,3.0,linear,0.8153389238294899
230,2.0,0.0,ovr,0.001,linear,0.8153389238294899
231,2.0,0.0,ovo,3.0,linear,0.8153389238294899
232,2.0,0.0,ovo,0.001,linear,0.8153389238294899
233,2.0,0.0,ovr,0.5,linear,0.8153389238294899
234,2.0,0.0,ovr,0.1,linear,0.8153389238294899
235,2.0,0.0,ovr,0.01,linear,0.8153389238294899
236,2.0,0.0,ovo,0.1,linear,0.8153389238294899
237,2.0,0.0,ovo,1.0,linear,0.8153389238294899
238,2.0,0.0,ovo,0.5,linear,0.8153389238294899
239,2.0,0.0,ovo,0.01,linear,0.8153389238294899
240,1.0,2.0,ovr,0.01,poly,0.815251572327044
241,5.0,1.0,ovo,0.01,rbf,0.815251572327044
242,5.0,0.0,ovr,0.01,rbf,0.815251572327044
243,6.0,2.0,ovr,0.001,poly,0.815251572327044
244,5.0,2.0,ovr,0.01,rbf,0.815251572327044
245,6.0,2.0,ovo,0.001,poly,0.815251572327044
246,1.0,2.0,ovo,0.01,poly,0.815251572327044
247,5.0,3.0,ovr,0.01,rbf,0.815251572327044
248,5.0,3.0,ovo,0.01,rbf,0.815251572327044
249,5.0,2.0,ovo,0.01,rbf,0.815251572327044
250,5.0,1.0,ovr,0.01,rbf,0.815251572327044
251,5.0,0.0,ovo,0.01,rbf,0.815251572327044
252,4.0,1.0,ovo,0.01,sigmoid,0.8151642208245982
253,4.0,1.0,ovr,0.01,sigmoid,0.8151642208245982
254,7.0,2.0,ovr,0.001,poly,0.8128930817610063
255,8.0,2.0,ovr,0.001,poly,0.8128930817610063
256,3.0,2.0,ovr,0.001,rbf,0.8128930817610063
257,3.0,3.0,ovo,0.001,poly,0.8128930817610063
258,8.0,2.0,ovo,0.001,poly,0.8128930817610063
259,3.0,3.0,ovo,0.001,rbf,0.8128930817610063
260,8.0,1.0,ovr,0.01,sigmoid,0.8128930817610063
261,3.0,3.0,ovr,0.001,rbf,0.8128930817610063
262,3.0,0.0,ovr,0.001,rbf,0.8128930817610063
263,8.0,1.0,ovo,0.01,sigmoid,0.8128930817610063
264,3.0,3.0,ovr,0.001,poly,0.8128930817610063
265,7.0,2.0,ovo,0.001,poly,0.8128930817610063
266,3.0,1.0,ovo,0.001,rbf,0.8128930817610063
267,3.0,2.0,ovo,0.001,rbf,0.8128930817610063
268,3.0,1.0,ovr,0.001,rbf,0.8128930817610063
269,3.0,0.0,ovo,0.001,rbf,0.8128930817610063
270,5.0,3.0,ovo,0.001,poly,0.8128494060097834
271,5.0,3.0,ovr,0.001,poly,0.8128494060097834
272,8.0,1.0,ovo,0.01,poly,0.8107966457023061
273,8.0,1.0,ovr,0.01,poly,0.8107966457023061
274,3.0,3.0,ovr,0.01,poly,0.8107529699510831
275,3.0,3.0,ovo,0.01,poly,0.8107529699510831
276,3.0,1.0,ovr,0.5,linear,0.8107092941998602
277,3.0,2.0,ovo,0.001,linear,0.8107092941998602
278,3.0,2.0,ovo,0.1,linear,0.8107092941998602
279,3.0,1.0,ovr,0.001,linear,0.8107092941998602
280,3.0,0.0,ovr,1.0,linear,0.8107092941998602
281,3.0,0.0,ovr,0.5,linear,0.8107092941998602
282,3.0,3.0,ovo,0.001,linear,0.8107092941998602
