,algorithm,learning_rate,n_estimators,Accuracy
0,SAMME,0.1,1000,0.8176100628930818
1,SAMME,0.5,1000,0.8106219426974144
2,SAMME,1.0,100,0.8105345911949686
3,SAMME,1.0,50,0.8104035639412999
4,SAMME,0.5,100,0.8082197763801537
5,SAMME,0.5,50,0.8059486373165619
6,SAMME,0.1,100,0.7779524807826694
7,SAMME,0.1,50,0.7686058700209644
8,SAMME,1.0,1000,0.7568134171907757
9,SAMME,2.0,1000,0.7545422781271838
10,SAMME.R,1.0,1000,0.7218728162124388
11,SAMME.R,0.5,1000,0.7218291404612159
12,SAMME.R,1.0,100,0.7146663172606569
13,SAMME.R,0.1,1000,0.7078529000698812
14,SAMME.R,1.0,50,0.7075908455625437
15,SAMME,0.1,1,0.7055380852550663
16,SAMME.R,1.0,1,0.7055380852550663
17,SAMME.R,2.0,1,0.7055380852550663
18,SAMME.R,0.5,1,0.7055380852550663
19,SAMME.R,0.1,1,0.7055380852550663
20,SAMME,2.0,1,0.7055380852550663
21,SAMME,1.0,1,0.7055380852550663
22,SAMME,0.5,1,0.7055380852550663
23,SAMME.R,0.1,100,0.7031795946890287
24,SAMME.R,0.1,50,0.7030922431865828
25,SAMME.R,0.5,100,0.7009084556254368
26,SAMME.R,0.5,50,0.698549965059399
27,SAMME,2.0,100,0.6983315863032844
28,SAMME,2.0,50,0.6964098532494759
29,SAMME.R,2.0,50,0.6614255765199162
30,SAMME.R,2.0,100,0.6567085953878407
31,SAMME.R,2.0,1000,0.6473183088749126
